in s,C1 in V,C2 in V
9.120000E-05,3.18506E+00,2.85303E+00
9.120080E-05,3.17041E+00,2.86768E+00
9.120160E-05,3.18506E+00,2.87744E+00
9.120240E-05,3.16553E+00,2.84814E+00
9.120320E-05,3.17529E+00,2.85303E+00
9.120400E-05,3.16553E+00,2.84326E+00
9.120480E-05,3.18994E+00,2.86768E+00
9.120560E-05,3.17529E+00,2.87256E+00
9.120640E-05,3.18994E+00,2.85791E+00
9.120720E-05,3.18506E+00,2.87256E+00
9.120800E-05,3.18018E+00,2.88232E+00
9.120880E-05,3.17041E+00,2.85791E+00
9.120960E-05,3.18506E+00,2.86768E+00
9.121040E-05,3.18506E+00,2.86768E+00
9.121120E-05,3.18994E+00,2.84814E+00
9.121200E-05,3.17041E+00,2.87256E+00
9.121280E-05,3.18506E+00,2.87744E+00
9.121360E-05,3.17529E+00,2.87256E+00
9.121440E-05,3.18994E+00,2.86768E+00
9.121520E-05,3.16553E+00,2.85791E+00
9.121600E-05,3.20459E+00,2.87256E+00
9.121680E-05,3.17529E+00,2.85791E+00
9.121760E-05,3.20947E+00,2.87256E+00
9.121840E-05,3.21436E+00,2.87256E+00
9.121920E-05,3.19971E+00,2.86768E+00
9.122000E-05,3.18994E+00,2.87744E+00
9.122080E-05,3.18018E+00,2.87744E+00
9.122160E-05,3.19482E+00,2.85791E+00
9.122240E-05,3.18506E+00,2.88232E+00
9.122320E-05,3.17529E+00,2.87256E+00
9.122400E-05,3.19482E+00,2.88721E+00
9.122480E-05,3.18994E+00,2.86279E+00
9.122560E-05,3.19971E+00,2.89209E+00
9.122640E-05,3.18994E+00,2.89209E+00
9.122720E-05,3.20459E+00,2.86279E+00
9.122800E-05,3.19482E+00,2.84814E+00
9.122880E-05,3.18506E+00,2.87744E+00
9.122960E-05,3.18018E+00,2.86768E+00
9.123040E-05,3.19971E+00,2.87256E+00
9.123120E-05,3.19971E+00,2.86279E+00
9.123200E-05,3.19971E+00,2.87744E+00
9.123280E-05,3.18506E+00,2.87256E+00
9.123360E-05,3.18994E+00,2.87744E+00
9.123440E-05,3.19971E+00,2.85303E+00
9.123520E-05,3.19971E+00,2.87744E+00
