"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:14:44",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1316,,1316,,1316,,1316,,
"Current",,1.370352e-04,,5.318400e-06,,1.710144e-04,,7.982400e-06,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,8.557440e-05,,5.222400e-06,,1.541760e-04,,4.051200e-06,,
"Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Mean",,1.298556e-04,,5.416042e-06,,1.679030e-04,,1.253641e-05,,
"StdDev",,4.694671e-05,,4.481424e-07,,7.652395e-06,,3.605215e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,8.552640e-05,,5.193600e-06,,1.541760e-04,,4.051200e-06,,
"Long term Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Long term Mean",,1.182727e-04,,5.391922e-06,,1.686934e-04,,1.215640e-05,,
"Long term StdDev",,4.477953e-05,,3.876768e-07,,6.725770e-06,,3.091640e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,8.561760e-05,,5.289600e-06,,1.708800e-04,,1.118400e-05,
2,,8.570880e-05,,5.270400e-06,,1.708992e-04,,1.112160e-05,
3,,8.565120e-05,,5.352000e-06,,1.710336e-04,,1.095840e-05,
4,,8.570400e-05,,5.299200e-06,,1.709280e-04,,1.085280e-05,
5,,8.570880e-05,,5.289600e-06,,1.709328e-04,,1.092480e-05,
6,,8.568480e-05,,5.385600e-06,,1.710144e-04,,1.149120e-05,
7,,8.568960e-05,,5.275200e-06,,1.709664e-04,,1.092960e-05,
8,,8.569440e-05,,5.304000e-06,,1.711104e-04,,1.105920e-05,
9,,8.563200e-05,,5.342400e-06,,1.709856e-04,,1.137120e-05,
10,,8.567040e-05,,5.342400e-06,,1.709904e-04,,1.132320e-05,
11,,8.561760e-05,,5.318400e-06,,1.709520e-04,,1.116960e-05,
12,,8.568000e-05,,5.342400e-06,,1.709424e-04,,1.144320e-05,
13,,8.568480e-05,,5.299200e-06,,1.708944e-04,,1.114080e-05,
14,,8.570400e-05,,5.308800e-06,,1.709520e-04,,1.099200e-05,
15,,8.572320e-05,,5.323200e-06,,1.709232e-04,,1.117440e-05,
16,,8.566560e-05,,5.337600e-06,,1.709184e-04,,1.118400e-05,
17,,8.563200e-05,,5.299200e-06,,1.708656e-04,,1.119840e-05,
18,,8.576160e-05,,5.318400e-06,,1.708992e-04,,1.074720e-05,
19,,8.566560e-05,,5.328000e-06,,1.709904e-04,,1.133280e-05,
20,,8.565600e-05,,5.328000e-06,,1.709664e-04,,1.116480e-05,
21,,8.571840e-05,,5.294400e-06,,1.710096e-04,,1.116480e-05,
22,,8.565120e-05,,5.390400e-06,,1.710528e-04,,1.128960e-05,
23,,8.564640e-05,,5.308800e-06,,1.709280e-04,,1.129920e-05,
24,,8.576640e-05,,5.313600e-06,,1.709520e-04,,1.114560e-05,
