in s,C1 in V
2.99871136E-01,6.2906354E+00
2.99871600E-01,6.2924664E+00
2.99872064E-01,6.2918561E+00
2.99872528E-01,6.2950604E+00
2.99872992E-01,6.2910931E+00
2.99873456E-01,6.2930768E+00
2.99873920E-01,6.2929242E+00
2.99874384E-01,6.2924664E+00
2.99874848E-01,6.2923138E+00
2.99875312E-01,6.2921613E+00
2.99875776E-01,6.2935345E+00
2.99876240E-01,6.2924664E+00
2.99876704E-01,6.2923138E+00
2.99877168E-01,6.2927716E+00
2.99877632E-01,6.2921613E+00
2.99878096E-01,6.2933820E+00
2.99878560E-01,6.2936871E+00
2.99879024E-01,6.2933820E+00
2.99879488E-01,6.2918561E+00
2.99879952E-01,6.2920087E+00
2.99880416E-01,6.2936871E+00
2.99880880E-01,6.2933820E+00
2.99881344E-01,6.2920087E+00
2.99881808E-01,6.2942975E+00
2.99882272E-01,6.2924664E+00
2.99882736E-01,6.2946027E+00
2.99883200E-01,6.2924664E+00
2.99883664E-01,6.2930768E+00
2.99884128E-01,6.2926190E+00
2.99884592E-01,6.2926190E+00
2.99885056E-01,6.2906354E+00
2.99885520E-01,6.2915509E+00
2.99885984E-01,6.2923138E+00
2.99886448E-01,6.2942975E+00
2.99886912E-01,6.2929242E+00
2.99887376E-01,6.2921613E+00
2.99887840E-01,6.2923138E+00
2.99888304E-01,6.2898724E+00
2.99888768E-01,6.2892621E+00
2.99889232E-01,6.2907880E+00
2.99889696E-01,6.2917035E+00
2.99890160E-01,6.2939923E+00
2.99890624E-01,6.2933820E+00
2.99891088E-01,6.2923138E+00
2.99891552E-01,6.2920087E+00
2.99892016E-01,6.2929242E+00
2.99892480E-01,6.2942975E+00
2.99892944E-01,6.2923138E+00
2.99893408E-01,6.2918561E+00
2.99893872E-01,6.2939923E+00
2.99894336E-01,6.2912457E+00
2.99894800E-01,6.2923138E+00
2.99895264E-01,6.2926190E+00
2.99895728E-01,6.2932294E+00
2.99896192E-01,6.2930768E+00
2.99896656E-01,6.2920087E+00
2.99897120E-01,6.2917035E+00
2.99897584E-01,6.2952130E+00
2.99898048E-01,6.2947552E+00
2.99898512E-01,6.2952130E+00
2.99898976E-01,6.2933820E+00
2.99899440E-01,6.2929242E+00
2.99899904E-01,6.2912457E+00
2.99900368E-01,6.2921613E+00
2.99900832E-01,6.2900250E+00
2.99901296E-01,6.2915509E+00
2.99901760E-01,6.2923138E+00
2.99902224E-01,6.2924664E+00
2.99902688E-01,6.2924664E+00
2.99903152E-01,6.2926190E+00
2.99903616E-01,6.2929242E+00
2.99904080E-01,6.2926190E+00
2.99904544E-01,6.2938397E+00
2.99905008E-01,6.2952130E+00
2.99905472E-01,6.2946027E+00
2.99905936E-01,6.2933820E+00
2.99906400E-01,6.2946027E+00
2.99906864E-01,6.2933820E+00
2.99907328E-01,6.2941449E+00
2.99907792E-01,6.2968915E+00
2.99908256E-01,6.2956708E+00
2.99908720E-01,6.2959760E+00
2.99909184E-01,6.2956708E+00
2.99909648E-01,6.2958234E+00
2.99910112E-01,6.2947552E+00
2.99910576E-01,6.2971967E+00
2.99911040E-01,6.2938397E+00
2.99911504E-01,6.2946027E+00
2.99911968E-01,6.2939923E+00
2.99912432E-01,6.2936871E+00
2.99912896E-01,6.2944501E+00
2.99913360E-01,6.2941449E+00
2.99913824E-01,6.2941449E+00
2.99914288E-01,6.2941449E+00
2.99914752E-01,6.2946027E+00
2.99915216E-01,6.2952130E+00
2.99915680E-01,6.2946027E+00
2.99916144E-01,6.2946027E+00
2.99916608E-01,6.2921613E+00
2.99917072E-01,6.2939923E+00
2.99917536E-01,6.2946027E+00
2.99918000E-01,6.2953656E+00
2.99918464E-01,6.2921613E+00
2.99918928E-01,6.2935345E+00
2.99919392E-01,6.2932294E+00
2.99919856E-01,6.2923138E+00
2.99920320E-01,6.2923138E+00
2.99920784E-01,6.2946027E+00
2.99921248E-01,6.2929242E+00
2.99921712E-01,6.2947552E+00
2.99922176E-01,6.2939923E+00
2.99922640E-01,6.2921613E+00
2.99923104E-01,6.2935345E+00
2.99923568E-01,6.2936871E+00
