in s,C1 in V
2.7936214E-01,6.8086713E+00
2.7936306E-01,6.8108075E+00
2.7936398E-01,6.8114178E+00
2.7936490E-01,6.8132489E+00
2.7936582E-01,6.8115704E+00
2.7936674E-01,6.8127911E+00
2.7936766E-01,6.8132489E+00
2.7936858E-01,6.8124860E+00
2.7936950E-01,6.8101971E+00
2.7937042E-01,6.8105023E+00
2.7937134E-01,6.8105023E+00
2.7937226E-01,6.8092816E+00
2.7937318E-01,6.8108075E+00
2.7937410E-01,6.8114178E+00
2.7937502E-01,6.8106549E+00
2.7937594E-01,6.8105023E+00
2.7937686E-01,6.8088239E+00
2.7937778E-01,6.8092816E+00
2.7937870E-01,6.8077557E+00
2.7937962E-01,6.8082135E+00
2.7938054E-01,6.8089764E+00
2.7938146E-01,6.8079083E+00
2.7938238E-01,6.8100446E+00
2.7938330E-01,6.8095868E+00
2.7938422E-01,6.8095868E+00
2.7938514E-01,6.8089764E+00
2.7938606E-01,6.8095868E+00
2.7938698E-01,6.8086713E+00
2.7938790E-01,6.8077557E+00
2.7938882E-01,6.8066876E+00
2.7938974E-01,6.8065350E+00
2.7939066E-01,6.8062299E+00
2.7939158E-01,6.8068402E+00
2.7939250E-01,6.8062299E+00
2.7939342E-01,6.8068402E+00
2.7939434E-01,6.8071454E+00
2.7939526E-01,6.8076031E+00
2.7939618E-01,6.8050092E+00
2.7939710E-01,6.8040936E+00
2.7939802E-01,6.8039410E+00
2.7939894E-01,6.8031781E+00
2.7939986E-01,6.8051617E+00
2.7940078E-01,6.8030255E+00
2.7940170E-01,6.8025677E+00
2.7940262E-01,6.8027203E+00
2.7940354E-01,6.8027203E+00
2.7940446E-01,6.8036359E+00
2.7940538E-01,6.8050092E+00
2.7940630E-01,6.8040936E+00
2.7940722E-01,6.8021100E+00
2.7940814E-01,6.8019574E+00
2.7940906E-01,6.8008893E+00
2.7940998E-01,6.8002789E+00
2.7941090E-01,6.8019574E+00
2.7941182E-01,6.8024152E+00
2.7941274E-01,6.8039410E+00
2.7941366E-01,6.8040936E+00
2.7941458E-01,6.8045514E+00
2.7941550E-01,6.8025677E+00
2.7941642E-01,6.8039410E+00
2.7941734E-01,6.7999738E+00
2.7941826E-01,6.8014996E+00
2.7941918E-01,6.8010419E+00
2.7942010E-01,6.8014996E+00
2.7942102E-01,6.7978375E+00
2.7942194E-01,6.8007367E+00
2.7942286E-01,6.8022626E+00
2.7942378E-01,6.8007367E+00
2.7942470E-01,6.7995160E+00
2.7942562E-01,6.7990582E+00
2.7942654E-01,6.7998212E+00
2.7942746E-01,6.8007367E+00
2.7942838E-01,6.8002789E+00
2.7942930E-01,6.8002789E+00
2.7943022E-01,6.8004315E+00
2.7943114E-01,6.8010419E+00
2.7943206E-01,6.8033307E+00
2.7943298E-01,6.8021100E+00
2.7943390E-01,6.7993634E+00
2.7943482E-01,6.8002789E+00
2.7943574E-01,6.8018048E+00
2.7943666E-01,6.8022626E+00
2.7943758E-01,6.7987531E+00
2.7943850E-01,6.7990582E+00
2.7943942E-01,6.7996686E+00
2.7944034E-01,6.8002789E+00
2.7944126E-01,6.7998212E+00
2.7944218E-01,6.7990582E+00
2.7944310E-01,6.8022626E+00
2.7944402E-01,6.8001263E+00
2.7944494E-01,6.7993634E+00
2.7944586E-01,6.7970746E+00
2.7944678E-01,6.7982953E+00
2.7944770E-01,6.8002789E+00
2.7944862E-01,6.8001263E+00
2.7944954E-01,6.7998212E+00
2.7945046E-01,6.7982953E+00
2.7945138E-01,6.7979901E+00
2.7945230E-01,6.7944806E+00
2.7945322E-01,6.7953961E+00
2.7945414E-01,6.7952435E+00
2.7945506E-01,6.7955487E+00
2.7945598E-01,6.7955487E+00
2.7945690E-01,6.7958539E+00
2.7945782E-01,6.7952435E+00
2.7945874E-01,6.7949384E+00
2.7945966E-01,6.7944806E+00
2.7946058E-01,6.7958539E+00
2.7946150E-01,6.7964642E+00
2.7946242E-01,6.7964642E+00
2.7946334E-01,6.7953961E+00
2.7946426E-01,6.7955487E+00
2.7946518E-01,6.7926495E+00
2.7946610E-01,6.7934125E+00
2.7946702E-01,6.7924969E+00
2.7946794E-01,6.7923444E+00
2.7946886E-01,6.7915814E+00
2.7946978E-01,6.7906659E+00
2.7947070E-01,6.7915814E+00
2.7947162E-01,6.7928021E+00
2.7947254E-01,6.7940228E+00
2.7947346E-01,6.7915814E+00
2.7947438E-01,6.7915814E+00
2.7947530E-01,6.7920392E+00
2.7947622E-01,6.7934125E+00
2.7947714E-01,6.7926495E+00
2.7947806E-01,6.7914288E+00
2.7947898E-01,6.7895978E+00
2.7947990E-01,6.7888348E+00
2.7948082E-01,6.7889874E+00
2.7948174E-01,6.7882245E+00
2.7948266E-01,6.7886823E+00
2.7948358E-01,6.7856305E+00
2.7948450E-01,6.7873090E+00
2.7948542E-01,6.7883771E+00
2.7948634E-01,6.7912762E+00
2.7948726E-01,6.7906659E+00
2.7948818E-01,6.7903607E+00
2.7948910E-01,6.7894452E+00
2.7949002E-01,6.7889874E+00
2.7949094E-01,6.7902081E+00
2.7949186E-01,6.7909711E+00
2.7949278E-01,6.7906659E+00
2.7949370E-01,6.7894452E+00
2.7949462E-01,6.7886823E+00
2.7949554E-01,6.7892926E+00
2.7949646E-01,6.7899030E+00
2.7949738E-01,6.7895978E+00
2.7949830E-01,6.7889874E+00
2.7949922E-01,6.7886823E+00
2.7950014E-01,6.7892926E+00
2.7950106E-01,6.7865460E+00
2.7950198E-01,6.7876141E+00
2.7950290E-01,6.7862408E+00
2.7950382E-01,6.7853253E+00
2.7950474E-01,6.7857831E+00
2.7950566E-01,6.7851727E+00
2.7950658E-01,6.7854779E+00
2.7950750E-01,6.7839520E+00
2.7950842E-01,6.7854779E+00
2.7950934E-01,6.7824261E+00
2.7951026E-01,6.7847150E+00
2.7951118E-01,6.7837994E+00
2.7951210E-01,6.7813580E+00
2.7951302E-01,6.7815106E+00
2.7951394E-01,6.7815106E+00
2.7951486E-01,6.7799847E+00
2.7951578E-01,6.7807477E+00
2.7951670E-01,6.7815106E+00
2.7951762E-01,6.7813580E+00
2.7951854E-01,6.7801373E+00
2.7951946E-01,6.7809003E+00
2.7952038E-01,6.7795270E+00
2.7952130E-01,6.7780011E+00
2.7952222E-01,6.7796796E+00
2.7952314E-01,6.7810529E+00
2.7952406E-01,6.7783063E+00
2.7952498E-01,6.7798322E+00
2.7952590E-01,6.7790692E+00
2.7952682E-01,6.7802899E+00
2.7952774E-01,6.7778485E+00
2.7952866E-01,6.7772382E+00
2.7952958E-01,6.7793744E+00
2.7953050E-01,6.7787640E+00
2.7953142E-01,6.7775433E+00
2.7953234E-01,6.7780011E+00
2.7953326E-01,6.7773907E+00
2.7953418E-01,6.7798322E+00
2.7953510E-01,6.7798322E+00
2.7953602E-01,6.7801373E+00
2.7953694E-01,6.7783063E+00
2.7953786E-01,6.7767804E+00
2.7953878E-01,6.7764752E+00
2.7953970E-01,6.7787640E+00
2.7954062E-01,6.7769330E+00
2.7954154E-01,6.7795270E+00
2.7954246E-01,6.7809003E+00
2.7954338E-01,6.7784589E+00
2.7954430E-01,6.7796796E+00
2.7954522E-01,6.7786115E+00
2.7954614E-01,6.7786115E+00
2.7954706E-01,6.7775433E+00
2.7954798E-01,6.7789166E+00
2.7954890E-01,6.7795270E+00
2.7954982E-01,6.7792218E+00
2.7955074E-01,6.7813580E+00
2.7955166E-01,6.7798322E+00
2.7955258E-01,6.7781537E+00
2.7955350E-01,6.7749493E+00
2.7955442E-01,6.7758649E+00
2.7955534E-01,6.7758649E+00
2.7955626E-01,6.7793744E+00
2.7955718E-01,6.7792218E+00
2.7955810E-01,6.7792218E+00
2.7955902E-01,6.7786115E+00
2.7955994E-01,6.7783063E+00
2.7956086E-01,6.7802899E+00
2.7956178E-01,6.7789166E+00
2.7956270E-01,6.7760175E+00
2.7956362E-01,6.7767804E+00
2.7956454E-01,6.7778485E+00
2.7956546E-01,6.7790692E+00
2.7956638E-01,6.7778485E+00
2.7956730E-01,6.7769330E+00
2.7956822E-01,6.7772382E+00
2.7956914E-01,6.7783063E+00
2.7957006E-01,6.7757123E+00
2.7957098E-01,6.7783063E+00
2.7957190E-01,6.7780011E+00
2.7957282E-01,6.7807477E+00
2.7957374E-01,6.7789166E+00
2.7957466E-01,6.7787640E+00
2.7957558E-01,6.7772382E+00
2.7957650E-01,6.7775433E+00
2.7957742E-01,6.7767804E+00
2.7957834E-01,6.7770856E+00
2.7957926E-01,6.7778485E+00
2.7958018E-01,6.7772382E+00
2.7958110E-01,6.7769330E+00
2.7958202E-01,6.7772382E+00
2.7958294E-01,6.7795270E+00
2.7958386E-01,6.7809003E+00
2.7958478E-01,6.7786115E+00
2.7958570E-01,6.7784589E+00
2.7958662E-01,6.7770856E+00
2.7958754E-01,6.7789166E+00
2.7958846E-01,6.7784589E+00
2.7958938E-01,6.7790692E+00
2.7959030E-01,6.7766278E+00
2.7959122E-01,6.7758649E+00
2.7959214E-01,6.7754071E+00
2.7959306E-01,6.7755597E+00
2.7959398E-01,6.7738812E+00
2.7959490E-01,6.7752545E+00
2.7959582E-01,6.7740338E+00
2.7959674E-01,6.7723553E+00
2.7959766E-01,6.7744916E+00
2.7959858E-01,6.7726605E+00
2.7959950E-01,6.7732709E+00
2.7960042E-01,6.7729657E+00
2.7960134E-01,6.7738812E+00
2.7960226E-01,6.7738812E+00
2.7960318E-01,6.7755597E+00
2.7960410E-01,6.7746442E+00
2.7960502E-01,6.7744916E+00
2.7960594E-01,6.7746442E+00
2.7960686E-01,6.7746442E+00
2.7960778E-01,6.7740338E+00
2.7960870E-01,6.7732709E+00
2.7960962E-01,6.7738812E+00
2.7961054E-01,6.7741864E+00
2.7961146E-01,6.7740338E+00
2.7961238E-01,6.7749493E+00
2.7961330E-01,6.7752545E+00
2.7961422E-01,6.7731183E+00
2.7961514E-01,6.7718976E+00
2.7961606E-01,6.7718976E+00
2.7961698E-01,6.7720502E+00
2.7961790E-01,6.7728131E+00
2.7961882E-01,6.7738812E+00
2.7961974E-01,6.7723553E+00
2.7962066E-01,6.7740338E+00
2.7962158E-01,6.7741864E+00
2.7962250E-01,6.7746442E+00
2.7962342E-01,6.7732709E+00
2.7962434E-01,6.7732709E+00
2.7962526E-01,6.7738812E+00
2.7962618E-01,6.7708295E+00
2.7962710E-01,6.7696088E+00
2.7962802E-01,6.7691510E+00
2.7962894E-01,6.7729657E+00
2.7962986E-01,6.7747968E+00
2.7963078E-01,6.7751019E+00
2.7963170E-01,6.7747968E+00
2.7963262E-01,6.7732709E+00
2.7963354E-01,6.7732709E+00
2.7963446E-01,6.7751019E+00
2.7963538E-01,6.7751019E+00
2.7963630E-01,6.7757123E+00
2.7963722E-01,6.7729657E+00
2.7963814E-01,6.7744916E+00
2.7963906E-01,6.7718976E+00
2.7963998E-01,6.7718976E+00
2.7964090E-01,6.7722028E+00
2.7964182E-01,6.7714398E+00
2.7964274E-01,6.7705243E+00
2.7964366E-01,6.7728131E+00
2.7964458E-01,6.7717450E+00
2.7964550E-01,6.7712872E+00
2.7964642E-01,6.7706769E+00
2.7964734E-01,6.7702191E+00
2.7964826E-01,6.7715924E+00
2.7964918E-01,6.7705243E+00
2.7965010E-01,6.7722028E+00
2.7965102E-01,6.7729657E+00
2.7965194E-01,6.7725079E+00
2.7965286E-01,6.7694562E+00
2.7965378E-01,6.7706769E+00
2.7965470E-01,6.7699139E+00
2.7965562E-01,6.7699139E+00
2.7965654E-01,6.7696088E+00
2.7965746E-01,6.7699139E+00
2.7965838E-01,6.7708295E+00
2.7965930E-01,6.7706769E+00
2.7966022E-01,6.7712872E+00
2.7966114E-01,6.7720502E+00
2.7966206E-01,6.7689984E+00
2.7966298E-01,6.7703717E+00
2.7966390E-01,6.7697614E+00
2.7966482E-01,6.7720502E+00
2.7966574E-01,6.7709821E+00
2.7966666E-01,6.7702191E+00
2.7966758E-01,6.7693036E+00
2.7966850E-01,6.7709821E+00
2.7966942E-01,6.7717450E+00
2.7967034E-01,6.7712872E+00
2.7967126E-01,6.7708295E+00
2.7967218E-01,6.7709821E+00
2.7967310E-01,6.7714398E+00
2.7967402E-01,6.7725079E+00
2.7967494E-01,6.7714398E+00
2.7967586E-01,6.7711346E+00
2.7967678E-01,6.7712872E+00
2.7967770E-01,6.7725079E+00
2.7967862E-01,6.7729657E+00
2.7967954E-01,6.7723553E+00
2.7968046E-01,6.7703717E+00
2.7968138E-01,6.7705243E+00
2.7968230E-01,6.7696088E+00
2.7968322E-01,6.7693036E+00
2.7968414E-01,6.7722028E+00
2.7968506E-01,6.7732709E+00
2.7968598E-01,6.7729657E+00
2.7968690E-01,6.7728131E+00
2.7968782E-01,6.7731183E+00
2.7968874E-01,6.7714398E+00
2.7968966E-01,6.7714398E+00
