in s,C1 in V
4.27999984E-02,1.47461E-02
4.28000168E-02,2.45117E-02
4.28000352E-02,1.47461E-02
4.28000536E-02,1.47461E-02
4.28000720E-02,-4.78516E-03
4.28000904E-02,3.91602E-02
4.28001088E-02,1.47461E-02
4.28001272E-02,2.93945E-02
4.28001456E-02,9.86328E-03
4.28001640E-02,4.98047E-03
4.28001824E-02,4.98047E-03
4.28002008E-02,1.47461E-02
4.28002192E-02,2.93945E-02
4.28002376E-02,9.76562E-05
4.28002560E-02,2.93945E-02
4.28002744E-02,1.96289E-02
4.28002928E-02,2.93945E-02
4.28003112E-02,4.98047E-03
4.28003296E-02,1.47461E-02
4.28003480E-02,1.96289E-02
4.28003664E-02,1.96289E-02
4.28003848E-02,3.42773E-02
4.28004032E-02,2.93945E-02
4.28004216E-02,2.45117E-02
4.28004400E-02,2.45117E-02
4.28004584E-02,1.47461E-02
4.28004768E-02,3.91602E-02
4.28004952E-02,3.91602E-02
4.28005136E-02,5.38086E-02
4.28005320E-02,1.96289E-02
4.28005504E-02,2.93945E-02
4.28005688E-02,1.47461E-02
4.28005872E-02,2.45117E-02
4.28006056E-02,3.42773E-02
4.28006240E-02,2.45117E-02
4.28006424E-02,3.91602E-02
4.28006608E-02,3.42773E-02
4.28006792E-02,1.96289E-02
4.28006976E-02,4.40430E-02
4.28007160E-02,3.42773E-02
4.28007344E-02,4.40430E-02
4.28007528E-02,4.40430E-02
4.28007712E-02,3.42773E-02
4.28007896E-02,2.93945E-02
4.28008080E-02,2.93945E-02
4.28008264E-02,4.89258E-02
4.28008448E-02,3.42773E-02
4.28008632E-02,4.40430E-02
4.28008816E-02,5.38086E-02
4.28009000E-02,4.40430E-02
4.28009184E-02,3.42773E-02
4.28009368E-02,2.93945E-02
4.28009552E-02,3.91602E-02
4.28009736E-02,4.89258E-02
4.28009920E-02,3.91602E-02
4.28010104E-02,4.40430E-02
4.28010288E-02,3.42773E-02
4.28010472E-02,5.38086E-02
4.28010656E-02,4.40430E-02
4.28010840E-02,5.38086E-02
4.28011024E-02,2.93945E-02
4.28011208E-02,3.42773E-02
4.28011392E-02,3.91602E-02
4.28011576E-02,4.40430E-02
4.28011760E-02,4.40430E-02
4.28011944E-02,4.40430E-02
4.28012128E-02,5.38086E-02
4.28012312E-02,5.38086E-02
4.28012496E-02,2.45117E-02
4.28012680E-02,4.89258E-02
4.28012864E-02,4.40430E-02
4.28013048E-02,4.40430E-02
4.28013232E-02,4.89258E-02
4.28013416E-02,3.91602E-02
4.28013600E-02,5.86914E-02
4.28013784E-02,3.42773E-02
4.28013968E-02,4.40430E-02
4.28014152E-02,4.40430E-02
4.28014336E-02,4.40430E-02
4.28014520E-02,3.42773E-02
4.28014704E-02,5.86914E-02
4.28014888E-02,4.40430E-02
4.28015072E-02,4.89258E-02
4.28015256E-02,5.86914E-02
4.28015440E-02,4.40430E-02
4.28015624E-02,5.86914E-02
4.28015808E-02,2.93945E-02
4.28015992E-02,4.40430E-02
4.28016176E-02,4.89258E-02
4.28016360E-02,6.35742E-02
4.28016544E-02,5.86914E-02
4.28016728E-02,5.38086E-02
4.28016912E-02,4.89258E-02
4.28017096E-02,5.86914E-02
4.28017280E-02,6.35742E-02
4.28017464E-02,7.33398E-02
4.28017648E-02,4.40430E-02
4.28017832E-02,5.38086E-02
4.28018016E-02,5.86914E-02
4.28018200E-02,8.31055E-02
4.28018384E-02,4.89258E-02
4.28018568E-02,5.86914E-02
4.28018752E-02,4.89258E-02
4.28018936E-02,5.38086E-02
4.28019120E-02,6.84570E-02
4.28019304E-02,5.86914E-02
4.28019488E-02,6.84570E-02
4.28019672E-02,6.84570E-02
4.28019856E-02,6.35742E-02
4.28020040E-02,5.86914E-02
4.28020224E-02,7.33398E-02
4.28020408E-02,5.38086E-02
4.28020592E-02,7.82227E-02
4.28020776E-02,3.91602E-02
4.28020960E-02,6.35742E-02
4.28021144E-02,7.82227E-02
