"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:20:14",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,2189,,
"Current",,1.208480e-05,,
"Average No.",,1.000000e+03,,
"Min",,2.240000e-08,,
"Max",,4.817920e-05,,
"Mean",,4.652650e-06,,
"StdDev",,2.529824e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,3.796640e-06,,
"Long term StdDev",,3.817517e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,3.630400e-06,
2,,3.598400e-06,
3,,3.648000e-06,
4,,3.641600e-06,
5,,3.625600e-06,
6,,3.670400e-06,
7,,3.624000e-06,
8,,3.633600e-06,
9,,3.598400e-06,
10,,1.600000e+308,
11,,1.600000e+308,
12,,1.600000e+308,
13,,1.600000e+308,
14,,1.600000e+308,
15,,1.600000e+308,
16,,1.600000e+308,
17,,1.600000e+308,
18,,1.600000e+308,
19,,1.600000e+308,
20,,1.600000e+308,
21,,3.636800e-06,
22,,1.600000e+308,
23,,3.646400e-06,
24,,3.619200e-06,
25,,3.644800e-06,
26,,3.636800e-06,
27,,3.670400e-06,
28,,3.640000e-06,
29,,3.632000e-06,
30,,3.592000e-06,
31,,3.641600e-06,
32,,3.644800e-06,
33,,3.646400e-06,
34,,3.625600e-06,
35,,3.628800e-06,
36,,3.576000e-06,
37,,3.641600e-06,
38,,3.612800e-06,
39,,3.592000e-06,
40,,3.593600e-06,
41,,3.590400e-06,
42,,3.665600e-06,
43,,3.638400e-06,
44,,3.625600e-06,
45,,3.635200e-06,
46,,3.624000e-06,
47,,3.652800e-06,
48,,3.608000e-06,
49,,3.633600e-06,
50,,4.000000e-06,
51,,3.641600e-06,
52,,3.638400e-06,
53,,3.553600e-06,
54,,3.596800e-06,
55,,3.612800e-06,
56,,3.604800e-06,
57,,3.638400e-06,
58,,3.611200e-06,
59,,1.600000e+308,
60,,2.880000e-08,
61,,3.630400e-06,
62,,1.600000e+308,
63,,7.312000e-07,
64,,1.600000e+308,
65,,7.104000e-07,
66,,1.600000e+308,
67,,4.817920e-05,
68,,7.216000e-07,
69,,1.600000e+308,
70,,1.600000e+308,
71,,1.600000e+308,
72,,1.600000e+308,
73,,1.600000e+308,
74,,1.600000e+308,
75,,1.600000e+308,
76,,1.600000e+308,
77,,1.600000e+308,
78,,1.600000e+308,
79,,1.600000e+308,
80,,1.600000e+308,
81,,1.600000e+308,
82,,1.600000e+308,
83,,1.600000e+308,
84,,1.600000e+308,
85,,1.600000e+308,
86,,1.600000e+308,
87,,1.600000e+308,
88,,1.600000e+308,
89,,1.600000e+308,
90,,1.600000e+308,
91,,1.600000e+308,
92,,1.600000e+308,
93,,1.600000e+308,
94,,1.600000e+308,
95,,1.600000e+308,
96,,1.600000e+308,
97,,1.600000e+308,
98,,1.600000e+308,
99,,1.600000e+308,
100,,1.600000e+308,
101,,1.600000e+308,
102,,1.600000e+308,
103,,1.600000e+308,
104,,1.600000e+308,
105,,1.600000e+308,
106,,1.600000e+308,
107,,1.600000e+308,
108,,1.600000e+308,
109,,1.600000e+308,
110,,1.600000e+308,
111,,1.600000e+308,
112,,1.600000e+308,
113,,1.600000e+308,
114,,1.600000e+308,
115,,1.600000e+308,
116,,1.600000e+308,
117,,1.600000e+308,
118,,1.600000e+308,
119,,1.600000e+308,
120,,1.600000e+308,
121,,3.635200e-06,
122,,3.638400e-06,
123,,3.603200e-06,
124,,3.579200e-06,
125,,3.649600e-06,
126,,3.582400e-06,
127,,3.657600e-06,
128,,3.628800e-06,
129,,3.632000e-06,
130,,3.569600e-06,
131,,3.593600e-06,
132,,3.644800e-06,
133,,3.592000e-06,
134,,3.624000e-06,
135,,3.604800e-06,
136,,3.622400e-06,
137,,3.633600e-06,
138,,3.611200e-06,
139,,3.638400e-06,
140,,3.632000e-06,
141,,3.635200e-06,
142,,3.624000e-06,
143,,3.625600e-06,
144,,3.553600e-06,
145,,3.608000e-06,
146,,3.606400e-06,
147,,3.617600e-06,
148,,3.604800e-06,
149,,3.633600e-06,
150,,3.620800e-06,
151,,3.600000e-06,
152,,3.668800e-06,
153,,3.638400e-06,
154,,3.627200e-06,
155,,3.632000e-06,
156,,3.574400e-06,
157,,3.592000e-06,
158,,3.630400e-06,
159,,3.628800e-06,
160,,3.627200e-06,
161,,3.604800e-06,
162,,3.611200e-06,
163,,3.640000e-06,
164,,3.606400e-06,
165,,3.624000e-06,
166,,3.617600e-06,
167,,3.579200e-06,
168,,3.609600e-06,
169,,3.545600e-06,
170,,3.622400e-06,
171,,3.585600e-06,
172,,3.590400e-06,
173,,3.585600e-06,
174,,3.643200e-06,
175,,3.630400e-06,
176,,3.545600e-06,
177,,3.619200e-06,
178,,3.641600e-06,
179,,3.603200e-06,
180,,3.625600e-06,
181,,3.619200e-06,
182,,3.662400e-06,
183,,3.632000e-06,
184,,3.638400e-06,
185,,3.644800e-06,
186,,3.537600e-06,
187,,3.611200e-06,
188,,3.563200e-06,
189,,3.608000e-06,
190,,3.633600e-06,
191,,3.611200e-06,
192,,3.600000e-06,
193,,3.593600e-06,
194,,3.571200e-06,
195,,3.632000e-06,
196,,3.609600e-06,
197,,3.660800e-06,
198,,3.628800e-06,
199,,3.582400e-06,
200,,3.600000e-06,
201,,3.632000e-06,
202,,3.600000e-06,
203,,3.625600e-06,
204,,3.580800e-06,
205,,3.635200e-06,
206,,3.996800e-06,
207,,3.611200e-06,
208,,3.644800e-06,
209,,3.640000e-06,
