in s,C2 in V
3.99914000E-02,-1.28146E+00
3.99914024E-02,-1.28635E+00
3.99914048E-02,-1.29123E+00
3.99914072E-02,-1.27658E+00
3.99914096E-02,-1.30100E+00
3.99914120E-02,-1.27658E+00
3.99914144E-02,-1.28146E+00
3.99914168E-02,-1.28146E+00
3.99914192E-02,-1.28146E+00
3.99914216E-02,-1.27658E+00
3.99914240E-02,-1.28635E+00
3.99914264E-02,-1.27658E+00
3.99914288E-02,-1.28635E+00
3.99914312E-02,-1.28635E+00
3.99914336E-02,-1.27658E+00
3.99914360E-02,-1.29123E+00
3.99914384E-02,-1.28146E+00
3.99914408E-02,-1.26682E+00
3.99914432E-02,-1.29611E+00
3.99914456E-02,-1.29123E+00
3.99914480E-02,-1.30100E+00
3.99914504E-02,-1.28635E+00
3.99914528E-02,-1.27658E+00
3.99914552E-02,-1.27170E+00
3.99914576E-02,-1.28146E+00
3.99914600E-02,-1.28146E+00
3.99914624E-02,-1.27658E+00
3.99914648E-02,-1.28146E+00
3.99914672E-02,-1.29611E+00
3.99914696E-02,-1.28635E+00
3.99914720E-02,-1.28635E+00
3.99914744E-02,-1.29123E+00
3.99914768E-02,-1.28146E+00
3.99914792E-02,-1.28635E+00
3.99914816E-02,-1.28146E+00
3.99914840E-02,-1.28146E+00
3.99914864E-02,-1.28635E+00
3.99914888E-02,-1.28635E+00
3.99914912E-02,-1.28146E+00
3.99914936E-02,-1.26682E+00
3.99914960E-02,-1.28146E+00
3.99914984E-02,-1.26682E+00
3.99915008E-02,-1.26193E+00
3.99915032E-02,-1.27170E+00
3.99915056E-02,-1.28146E+00
3.99915080E-02,-1.29611E+00
3.99915104E-02,-1.28635E+00
3.99915128E-02,-1.29123E+00
3.99915152E-02,-1.28146E+00
3.99915176E-02,-1.28635E+00
3.99915200E-02,-1.27658E+00
3.99915224E-02,-1.28146E+00
3.99915248E-02,-1.29611E+00
3.99915272E-02,-1.28146E+00
3.99915296E-02,-1.27170E+00
3.99915320E-02,-1.29123E+00
3.99915344E-02,-1.30100E+00
3.99915368E-02,-1.26193E+00
3.99915392E-02,-1.27658E+00
3.99915416E-02,-1.29611E+00
3.99915440E-02,-1.28146E+00
3.99915464E-02,-1.29123E+00
3.99915488E-02,-1.25705E+00
3.99915512E-02,-1.28635E+00
3.99915536E-02,-1.28146E+00
3.99915560E-02,-1.28635E+00
3.99915584E-02,-1.28146E+00
3.99915608E-02,-1.25705E+00
3.99915632E-02,-1.27170E+00
3.99915656E-02,-1.28635E+00
3.99915680E-02,-1.28146E+00
3.99915704E-02,-1.30100E+00
3.99915728E-02,-1.27658E+00
3.99915752E-02,-1.27658E+00
3.99915776E-02,-1.28146E+00
3.99915800E-02,-1.28635E+00
3.99915824E-02,-1.29611E+00
3.99915848E-02,-1.29611E+00
3.99915872E-02,-1.27170E+00
3.99915896E-02,-1.29611E+00
3.99915920E-02,-1.27658E+00
3.99915944E-02,-1.28146E+00
3.99915968E-02,-1.28146E+00
3.99915992E-02,-1.26682E+00
3.99916016E-02,-1.28635E+00
3.99916040E-02,-1.29611E+00
3.99916064E-02,-1.27658E+00
3.99916088E-02,-1.29123E+00
3.99916112E-02,-1.28146E+00
3.99916136E-02,-1.27170E+00
3.99916160E-02,-1.28146E+00
3.99916184E-02,-1.26682E+00
3.99916208E-02,-1.30100E+00
3.99916232E-02,-1.27170E+00
3.99916256E-02,-1.28146E+00
3.99916280E-02,-1.28635E+00
3.99916304E-02,-1.28146E+00
3.99916328E-02,-1.27658E+00
3.99916352E-02,-1.28146E+00
3.99916376E-02,-1.28635E+00
3.99916400E-02,-1.29123E+00
3.99916424E-02,-1.29123E+00
3.99916448E-02,-1.28635E+00
3.99916472E-02,-1.27170E+00
3.99916496E-02,-1.29611E+00
