"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:21",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3121,,
"Current",,8.910400e-06,,
"Average No.",,1.000000e+03,,
"Min",,1.771200e-06,,
"Max",,1.937120e-05,,
"Mean",,6.881824e-06,,
"StdDev",,2.402035e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.801982e-06,,
"Long term StdDev",,3.730531e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
228,,5.291200e-06,
229,,1.200480e-05,
230,,5.419200e-06,
231,,5.440000e-06,
232,,5.283200e-06,
233,,5.432000e-06,
234,,5.424000e-06,
235,,5.328000e-06,
236,,5.456000e-06,
237,,5.363200e-06,
238,,5.444800e-06,
239,,1.196160e-05,
240,,5.308800e-06,
241,,5.393600e-06,
242,,5.348800e-06,
243,,4.790400e-06,
244,,5.283200e-06,
245,,5.291200e-06,
246,,1.191520e-05,
247,,5.454400e-06,
248,,5.241600e-06,
249,,5.257600e-06,
250,,5.392000e-06,
251,,5.264000e-06,
252,,5.414400e-06,
253,,5.275200e-06,
254,,5.334400e-06,
255,,5.377600e-06,
256,,5.411200e-06,
257,,5.401600e-06,
258,,5.288000e-06,
259,,5.353600e-06,
260,,5.356800e-06,
261,,5.332800e-06,
262,,5.425600e-06,
263,,5.384000e-06,
264,,5.347200e-06,
265,,5.315200e-06,
266,,5.344000e-06,
267,,5.281600e-06,
268,,5.350400e-06,
269,,5.422400e-06,
270,,1.196800e-05,
271,,1.184800e-05,
272,,5.347200e-06,
273,,5.224000e-06,
274,,5.438400e-06,
275,,5.318400e-06,
276,,5.336000e-06,
277,,5.435200e-06,
278,,5.334400e-06,
279,,5.281600e-06,
280,,1.189600e-05,
281,,5.257600e-06,
282,,5.286400e-06,
283,,5.422400e-06,
284,,5.387200e-06,
285,,5.393600e-06,
286,,5.321600e-06,
287,,1.193760e-05,
288,,1.177120e-05,
289,,5.243200e-06,
290,,5.390400e-06,
291,,5.243200e-06,
292,,5.300800e-06,
293,,1.178080e-05,
294,,5.467200e-06,
295,,5.281600e-06,
296,,5.243200e-06,
297,,5.275200e-06,
298,,5.289600e-06,
299,,5.465600e-06,
300,,5.414400e-06,
301,,1.195520e-05,
302,,5.328000e-06,
303,,5.297600e-06,
304,,5.448000e-06,
305,,5.276800e-06,
306,,5.350400e-06,
307,,5.374400e-06,
308,,5.443200e-06,
309,,1.196640e-05,
310,,1.185600e-05,
311,,5.480000e-06,
312,,5.238400e-06,
313,,5.224000e-06,
314,,5.369600e-06,
315,,5.321600e-06,
316,,5.396800e-06,
317,,5.331200e-06,
318,,5.355200e-06,
319,,5.313600e-06,
320,,5.473600e-06,
321,,1.190400e-05,
322,,5.299200e-06,
323,,5.268800e-06,
324,,5.294400e-06,
325,,5.302400e-06,
326,,4.763200e-06,
327,,5.348800e-06,
328,,5.348800e-06,
329,,1.201600e-05,
330,,5.264000e-06,
331,,5.452800e-06,
332,,1.192320e-05,
333,,5.443200e-06,
334,,5.345600e-06,
335,,5.425600e-06,
336,,5.224000e-06,
337,,5.307200e-06,
338,,5.363200e-06,
339,,5.396800e-06,
340,,5.337600e-06,
341,,5.345600e-06,
342,,5.318400e-06,
343,,5.302400e-06,
344,,5.312000e-06,
345,,1.180640e-05,
346,,5.424000e-06,
347,,5.344000e-06,
348,,5.278400e-06,
349,,5.332800e-06,
350,,5.318400e-06,
351,,1.183200e-05,
352,,4.772800e-06,
353,,5.347200e-06,
354,,5.281600e-06,
355,,5.256000e-06,
356,,5.304000e-06,
357,,5.300800e-06,
358,,5.323200e-06,
359,,5.267200e-06,
360,,5.475200e-06,
361,,4.796800e-06,
362,,5.414400e-06,
363,,5.406400e-06,
364,,5.478400e-06,
365,,5.419200e-06,
366,,5.438400e-06,
367,,1.178240e-05,
368,,5.336000e-06,
369,,5.305600e-06,
370,,5.318400e-06,
371,,5.257600e-06,
372,,5.435200e-06,
373,,5.420800e-06,
374,,5.470400e-06,
375,,5.441600e-06,
376,,5.440000e-06,
377,,1.189120e-05,
378,,5.249600e-06,
379,,5.396800e-06,
380,,5.408000e-06,
381,,5.296000e-06,
382,,5.257600e-06,
383,,5.358400e-06,
384,,5.449600e-06,
385,,1.188800e-05,
386,,5.291200e-06,
387,,5.280000e-06,
388,,5.305600e-06,
389,,5.427200e-06,
390,,1.187200e-05,
391,,5.276800e-06,
392,,5.272000e-06,
393,,5.411200e-06,
394,,5.430400e-06,
395,,1.175680e-05,
396,,5.302400e-06,
397,,5.481600e-06,
398,,5.385600e-06,
399,,5.430400e-06,
400,,5.350400e-06,
401,,5.334400e-06,
402,,5.280000e-06,
403,,5.262400e-06,
404,,5.310400e-06,
405,,1.192800e-05,
