in s,C1 in V,C2 in V
3.720000E-05,1.20264E+00,1.21240E+00
3.720160E-05,1.18799E+00,1.15869E+00
3.720320E-05,1.19775E+00,1.19287E+00
3.720480E-05,1.20264E+00,1.18311E+00
3.720640E-05,1.21240E+00,1.22705E+00
3.720800E-05,1.18311E+00,1.18799E+00
3.720960E-05,1.20264E+00,1.20752E+00
3.721120E-05,1.21240E+00,1.18311E+00
3.721280E-05,1.22217E+00,1.19775E+00
3.721440E-05,1.18799E+00,1.18311E+00
3.721600E-05,1.19287E+00,1.19287E+00
3.721760E-05,1.18799E+00,1.19775E+00
3.721920E-05,1.20264E+00,1.20752E+00
3.722080E-05,1.19287E+00,1.18311E+00
3.722240E-05,1.21729E+00,1.19775E+00
3.722400E-05,1.21240E+00,1.18799E+00
3.722560E-05,1.22217E+00,1.20264E+00
3.722720E-05,1.20264E+00,1.18311E+00
3.722880E-05,1.19775E+00,1.19775E+00
3.723040E-05,1.22705E+00,1.19287E+00
3.723200E-05,1.19775E+00,1.21240E+00
3.723360E-05,1.20752E+00,1.17334E+00
3.723520E-05,1.19775E+00,1.19287E+00
3.723680E-05,1.21240E+00,1.20264E+00
3.723840E-05,1.21240E+00,1.20264E+00
3.724000E-05,1.18799E+00,1.17334E+00
3.724160E-05,1.22217E+00,1.21240E+00
3.724320E-05,1.21240E+00,1.19287E+00
3.724480E-05,1.21240E+00,1.20264E+00
3.724640E-05,1.18799E+00,1.19775E+00
3.724800E-05,1.21240E+00,1.19287E+00
3.724960E-05,1.21240E+00,1.20752E+00
3.725120E-05,1.21729E+00,1.21240E+00
3.725280E-05,1.19775E+00,1.19287E+00
3.725440E-05,1.21729E+00,1.21240E+00
3.725600E-05,1.21240E+00,1.20264E+00
3.725760E-05,1.21240E+00,1.21729E+00
3.725920E-05,1.20264E+00,1.18311E+00
3.726080E-05,1.21240E+00,1.21240E+00
3.726240E-05,1.23682E+00,1.20264E+00
3.726400E-05,1.20752E+00,1.21240E+00
3.726560E-05,1.19287E+00,1.18799E+00
3.726720E-05,1.20264E+00,1.19287E+00
3.726880E-05,1.21729E+00,1.20264E+00
3.727040E-05,1.21729E+00,1.19775E+00
3.727200E-05,1.19775E+00,1.20752E+00
3.727360E-05,1.21240E+00,1.19287E+00
3.727520E-05,1.21240E+00,1.20264E+00
3.727680E-05,1.21240E+00,1.20264E+00
3.727840E-05,1.20264E+00,1.19775E+00
3.728000E-05,1.20264E+00,1.18799E+00
3.728160E-05,1.21240E+00,1.21240E+00
3.728320E-05,1.21240E+00,1.21729E+00
3.728480E-05,1.22217E+00,1.21240E+00
3.728640E-05,1.22705E+00,1.21240E+00
3.728800E-05,1.22217E+00,1.21729E+00
3.728960E-05,1.22217E+00,1.21729E+00
3.729120E-05,1.21240E+00,1.19287E+00
3.729280E-05,1.21240E+00,1.19775E+00
3.729440E-05,1.21240E+00,1.21729E+00
3.729600E-05,1.21240E+00,1.21240E+00
3.729760E-05,1.20752E+00,1.19287E+00
3.729920E-05,1.21240E+00,1.21729E+00
3.730080E-05,1.23682E+00,1.21240E+00
3.730240E-05,1.20752E+00,1.22217E+00
3.730400E-05,1.21240E+00,1.19775E+00
3.730560E-05,1.21240E+00,1.19287E+00
3.730720E-05,1.24170E+00,1.21240E+00
3.730880E-05,1.22217E+00,1.23193E+00
3.731040E-05,1.22705E+00,1.20752E+00
3.731200E-05,1.20752E+00,1.19775E+00
3.731360E-05,1.23682E+00,1.21729E+00
3.731520E-05,1.23682E+00,1.21729E+00
3.731680E-05,1.20752E+00,1.19287E+00
