(2.1613+/-0.0283)E-06 (3.4546+/-0.0453)E-07
(2.1649+/-0.0284)E-06 (4.2779+/-0.0560)E-07
(2.0845+/-0.0273)E-06 (4.3124+/-0.0565)E-07
(2.1109+/-0.0277)E-06 (4.4401+/-0.0582)E-07
(1.9923+/-0.0261)E-06 (4.0566+/-0.0531)E-07
(2.0174+/-0.0264)E-06 (3.8291+/-0.0502)E-07
(1.4631+/-0.0192)E-06 (1.6421+/-0.0215)E-07
(1.4143+/-0.0185)E-06 (7.0531+/-0.0924)E-07
(1.2971+/-0.0170)E-05 (1.9511+/-0.0256)E-07
(9.0146+/-0.1181)E-07 (2.8131+/-0.0369)E-07
(9.7439+/-0.1276)E-07 (1.5266+/-0.0200)E-07
(6.5828+/-0.0862)E-07 (7.3625+/-0.0964)E-08
(1.6358+/-0.0214)E-06 (5.1867+/-0.0679)E-07
(5.9241+/-0.0776)E-07 (2.1668+/-0.0284)E-07
(6.1441+/-0.0805)E-07 (1.0333+/-0.0135)E-07
(5.6603+/-0.0741)E-07 (1.8039+/-0.0236)E-07
(8.5420+/-0.1119)E-07 (8.6162+/-0.1129)E-08
(5.3556+/-0.0702)E-07 (2.7729+/-0.0363)E-07
(4.7863+/-0.0627)E-07 (1.2832+/-0.0168)E-06
(5.6177+/-0.0736)E-07 (1.6633+/-0.0218)E-07
(5.1599+/-0.0676)E-07 (8.1466+/-0.1067)E-08
(5.3564+/-0.0702)E-07 (8.1731+/-0.1071)E-08
(4.8941+/-0.0641)E-07 (1.0134+/-0.0133)E-07
(5.0754+/-0.0665)E-07 (1.2581+/-0.0165)E-07
(4.2579+/-0.0558)E-07 (1.3696+/-0.0179)E-06
(5.2533+/-0.0688)E-07 (1.0673+/-0.0140)E-07
(4.2236+/-0.0553)E-07 (9.0584+/-0.1187)E-07
(4.4441+/-0.0582)E-07 (1.2220+/-0.0160)E-07
(4.9111+/-0.0643)E-07 (1.6023+/-0.0210)E-06
(5.3351+/-0.0699)E-07 (1.4956+/-0.0196)E-07
(3.8605+/-0.0506)E-07 (5.8990+/-0.0773)E-08
(8.5139+/-0.1115)E-06 (1.0001+/-0.0131)E-07
(4.3198+/-0.0566)E-06 (1.2420+/-0.0163)E-07
(1.6132+/-0.0211)E-05 (1.4884+/-0.0195)E-07
(2.7458+/-0.0360)E-06 (1.4165+/-0.0186)E-07
(2.3198+/-0.0304)E-06 (1.6948+/-0.0222)E-07
(2.1657+/-0.0284)E-06 (1.8063+/-0.0237)E-07
(1.8707+/-0.0245)E-06 (7.3854+/-0.0967)E-07
(1.8911+/-0.0248)E-06 (1.7824+/-0.0233)E-07
(1.7752+/-0.0233)E-06 (1.7282+/-0.0226)E-07
(1.6861+/-0.0221)E-06 (1.8237+/-0.0239)E-07
(1.5607+/-0.0204)E-06 (1.6116+/-0.0211)E-07
(1.5897+/-0.0208)E-06 (1.8112+/-0.0237)E-07
(1.5444+/-0.0202)E-06 (1.8330+/-0.0240)E-07
(1.4685+/-0.0192)E-06 (1.8438+/-0.0242)E-07
(1.4622+/-0.0192)E-06 (1.6924+/-0.0222)E-07
