(1.1644+/-0.0066)E-05 (1.8612+/-0.0105)E-06
(1.1664+/-0.0066)E-05 (2.3048+/-0.0130)E-06
(1.1230+/-0.0063)E-05 (2.3234+/-0.0131)E-06
(1.1373+/-0.0064)E-05 (2.3922+/-0.0135)E-06
(1.0734+/-0.0061)E-05 (2.1855+/-0.0123)E-06
(1.0869+/-0.0061)E-05 (2.0630+/-0.0116)E-06
(7.8826+/-0.0445)E-06 (8.8469+/-0.0499)E-07
(7.6197+/-0.0430)E-06 (3.8000+/-0.0214)E-06
(6.9883+/-0.0394)E-05 (1.0512+/-0.0059)E-06
(4.8568+/-0.0274)E-06 (1.5156+/-0.0086)E-06
(5.2497+/-0.0296)E-06 (8.2250+/-0.0464)E-07
(3.5466+/-0.0200)E-06 (3.9666+/-0.0224)E-07
(8.8132+/-0.0497)E-06 (2.7944+/-0.0158)E-06
(3.1917+/-0.0180)E-06 (1.1674+/-0.0066)E-06
(3.3102+/-0.0187)E-06 (5.5669+/-0.0314)E-07
(3.0496+/-0.0172)E-06 (9.7188+/-0.0548)E-07
(4.6021+/-0.0260)E-06 (4.6421+/-0.0262)E-07
(2.8854+/-0.0163)E-06 (1.4939+/-0.0084)E-06
(2.5787+/-0.0146)E-06 (6.9133+/-0.0390)E-06
(3.0266+/-0.0171)E-06 (8.9613+/-0.0506)E-07
(2.7800+/-0.0157)E-06 (4.3891+/-0.0248)E-07
(2.8858+/-0.0163)E-06 (4.4034+/-0.0249)E-07
(2.6368+/-0.0149)E-06 (5.4598+/-0.0308)E-07
(2.7344+/-0.0154)E-06 (6.7782+/-0.0383)E-07
(2.2940+/-0.0129)E-06 (7.3792+/-0.0416)E-06
(2.8303+/-0.0160)E-06 (5.7500+/-0.0325)E-07
(2.2755+/-0.0128)E-06 (4.8803+/-0.0275)E-06
(2.3943+/-0.0135)E-06 (6.5838+/-0.0372)E-07
(2.6459+/-0.0149)E-06 (8.6325+/-0.0487)E-06
(2.8744+/-0.0162)E-06 (8.0576+/-0.0455)E-07
(2.0799+/-0.0117)E-06 (3.1782+/-0.0179)E-07
(4.5870+/-0.0259)E-05 (5.3883+/-0.0304)E-07
(2.3274+/-0.0131)E-05 (6.6915+/-0.0378)E-07
(8.6914+/-0.0491)E-05 (8.0188+/-0.0453)E-07
(1.4793+/-0.0083)E-05 (7.6316+/-0.0431)E-07
(1.2498+/-0.0071)E-05 (9.1311+/-0.0515)E-07
(1.1668+/-0.0066)E-05 (9.7319+/-0.0549)E-07
(1.0078+/-0.0057)E-05 (3.9790+/-0.0225)E-06
(1.0188+/-0.0057)E-05 (9.6030+/-0.0542)E-07
(9.5643+/-0.0540)E-06 (9.3110+/-0.0525)E-07
(9.0841+/-0.0513)E-06 (9.8254+/-0.0555)E-07
(8.4085+/-0.0475)E-06 (8.6830+/-0.0490)E-07
