A_3 = 1.5151E-01, Δφ_3 = -1.5765E+00
A_4 = 2.4480E+00, Δφ_4 = 1.7248E-01
A_5 = 8.5583E-02, Δφ_5 = -1.3816E+00
A_6 = 5.1970E-02, Δφ_6 = -1.7496E+00
A_7 = 4.6803E-02, Δφ_7 = -1.5723E+00
A_8 = 3.0850E-02, Δφ_8 = -1.8870E+00
A_9 = 5.2520E-02, Δφ_9 = -1.7486E+00
A_10 = 3.6669E-02, Δφ_10 = -1.9856E+00
A_11 = 3.8325E-02, Δφ_11 = -1.4682E+00
A_12 = 4.5329E-02, Δφ_12 = -2.0254E+00
A_13 = 2.0338E-02, Δφ_13 = -1.5940E+00
A_14 = 2.4504E-02, Δφ_14 = -1.5531E+00
A_15 = 1.7345E-02, Δφ_15 = -1.2943E+00
A_16 = 1.5352E-02, Δφ_16 = -1.7759E+00
A_17 = 1.6439E-02, Δφ_17 = -1.4405E+00
A_18 = 2.0315E-02, Δφ_18 = -1.6830E+00
A_19 = 1.1188E-02, Δφ_19 = -1.7890E+00
A_20 = 1.9017E-02, Δφ_20 = -1.5621E+00
A_21 = 1.0921E-02, Δφ_21 = -1.6427E+00
A_22 = 2.4332E-02, Δφ_22 = -1.6440E+00
A_23 = 1.2647E-02, Δφ_23 = -1.3338E+00
A_24 = 1.7287E-02, Δφ_24 = -1.4189E+00
A_25 = 1.6694E-02, Δφ_25 = -1.7129E+00
A_26 = 1.6532E-02, Δφ_26 = -1.3333E+00
A_27 = 1.4474E-02, Δφ_27 = -1.4396E+00
A_28 = 1.3915E-02, Δφ_28 = -1.5273E+00
A_29 = 1.3244E-02, Δφ_29 = -1.6182E+00
A_30 = 1.6787E-02, Δφ_30 = -1.3076E+00
A_31 = 9.7413E-03, Δφ_31 = -1.7092E+00
A_32 = 6.8148E-03, Δφ_32 = -1.2142E+00
A_33 = 1.3037E-02, Δφ_33 = -7.1019E-01
A_34 = 1.0604E-02, Δφ_34 = -1.4241E+00
A_35 = 7.9649E-03, Δφ_35 = -1.3669E+00
A_36 = 1.1644E-02, Δφ_36 = -1.7274E+00
A_37 = 1.1373E-02, Δφ_37 = -1.1695E+00
A_38 = 4.9104E-03, Δφ_38 = -7.1666E-01
A_39 = 6.8889E-03, Δφ_39 = -2.0376E+00
A_40 = 4.0574E-03, Δφ_40 = -9.2049E-01
A_41 = 1.2264E-02, Δφ_41 = -1.3013E+00
A_42 = 8.7465E-03, Δφ_42 = -1.7954E+00
A_43 = 9.9563E-03, Δφ_43 = -1.5645E+00
A_44 = 4.0996E-03, Δφ_44 = -2.2202E+00
A_45 = 1.4250E-02, Δφ_45 = -1.1174E+00
A_46 = 8.1299E-03, Δφ_46 = -1.5258E+00
A_47 = 3.0121E-03, Δφ_47 = -2.0212E-01
A_48 = 8.0172E-03, Δφ_48 = -1.1523E+00
