"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:17:57",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,2390,,2390,,2390,,2390,,
"Current",,1.711200e-04,,1.087680e-05,,1.031088e-04,,5.284800e-06,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.029456e-04,,5.227200e-06,,1.029504e-04,,3.110400e-06,,
"Max",,3.290448e-04,,1.123200e-05,,2.499888e-04,,3.468624e-04,,
"Mean",,1.503266e-04,,6.798638e-06,,1.533895e-04,,1.723608e-05,,
"StdDev",,4.947154e-05,,1.916914e-06,,2.318680e-05,,5.312674e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,8.552640e-05,,5.193600e-06,,1.029504e-04,,3.110400e-06,,
"Long term Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Long term Mean",,1.305193e-04,,5.913677e-06,,1.630604e-04,,1.382385e-05,,
"Long term StdDev",,4.819171e-05,,1.387032e-06,,1.684118e-05,,3.995358e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.369872e-04,,5.385600e-06,,1.709664e-04,,8.184000e-06,
2,,1.370160e-04,,5.342400e-06,,1.710096e-04,,8.193600e-06,
3,,1.369872e-04,,5.347200e-06,,1.709040e-04,,8.241600e-06,
4,,1.369584e-04,,5.409600e-06,,1.710048e-04,,7.944000e-06,
5,,1.370112e-04,,5.342400e-06,,1.710144e-04,,8.097600e-06,
6,,1.369920e-04,,5.304000e-06,,1.710912e-04,,7.852800e-06,
7,,1.371504e-04,,5.337600e-06,,1.710480e-04,,8.059200e-06,
8,,1.370160e-04,,5.260800e-06,,1.710432e-04,,8.179200e-06,
9,,1.370448e-04,,5.246400e-06,,1.709712e-04,,7.896000e-06,
10,,1.371408e-04,,5.270400e-06,,1.710240e-04,,7.929600e-06,
11,,1.370352e-04,,5.337600e-06,,1.709952e-04,,8.227200e-06,
12,,1.370160e-04,,5.361600e-06,,1.709520e-04,,8.376000e-06,
13,,1.370064e-04,,5.347200e-06,,1.711056e-04,,8.001600e-06,
14,,1.370736e-04,,5.275200e-06,,1.710384e-04,,8.059200e-06,
15,,1.370784e-04,,5.361600e-06,,1.710720e-04,,8.064000e-06,
16,,1.370064e-04,,5.318400e-06,,1.710192e-04,,8.112000e-06,
17,,1.370448e-04,,5.270400e-06,,1.709712e-04,,8.107200e-06,
18,,1.370832e-04,,5.414400e-06,,1.710576e-04,,8.011200e-06,
19,,1.370496e-04,,5.308800e-06,,1.709952e-04,,8.212800e-06,
20,,1.370688e-04,,5.352000e-06,,1.709904e-04,,8.016000e-06,
21,,1.370352e-04,,5.347200e-06,,1.710768e-04,,8.140800e-06,
22,,1.371072e-04,,5.376000e-06,,1.710048e-04,,8.088000e-06,
23,,1.369920e-04,,5.352000e-06,,1.709424e-04,,8.294400e-06,
24,,1.370976e-04,,5.390400e-06,,1.710336e-04,,7.881600e-06,
25,,1.370784e-04,,5.347200e-06,,1.709808e-04,,8.102400e-06,
26,,1.370112e-04,,5.308800e-06,,1.710288e-04,,8.150400e-06,
27,,1.370976e-04,,5.318400e-06,,1.710336e-04,,7.838400e-06,
28,,1.370256e-04,,5.332800e-06,,1.710192e-04,,7.934400e-06,
29,,1.370208e-04,,5.280000e-06,,1.709856e-04,,8.006400e-06,
30,,1.370448e-04,,5.337600e-06,,1.709808e-04,,7.939200e-06,
31,,1.370160e-04,,5.342400e-06,,1.709856e-04,,8.198400e-06,
32,,1.370304e-04,,5.337600e-06,,1.710624e-04,,8.155200e-06,
33,,1.369632e-04,,5.299200e-06,,1.710432e-04,,8.155200e-06,
34,,1.370112e-04,,5.361600e-06,,1.709712e-04,,8.241600e-06,
35,,1.369872e-04,,5.323200e-06,,1.709808e-04,,8.241600e-06,
36,,1.370544e-04,,5.342400e-06,,1.710336e-04,,7.968000e-06,
37,,1.371456e-04,,5.332800e-06,,1.710336e-04,,8.040000e-06,
38,,1.370448e-04,,5.376000e-06,,1.709952e-04,,8.054400e-06,
39,,1.369968e-04,,5.308800e-06,,1.709424e-04,,8.164800e-06,
40,,1.370496e-04,,5.299200e-06,,1.710048e-04,,8.174400e-06,
41,,1.370304e-04,,5.352000e-06,,1.710672e-04,,8.121600e-06,
42,,1.371072e-04,,5.284800e-06,,1.709904e-04,,7.915200e-06,
