in s,C2 in V
3.94620000E-02,-2.49396E+00
3.94620016E-02,-2.48908E+00
3.94620032E-02,-2.49885E+00
3.94620048E-02,-2.47932E+00
3.94620064E-02,-2.50861E+00
3.94620080E-02,-2.50373E+00
3.94620096E-02,-2.50373E+00
3.94620112E-02,-2.47443E+00
3.94620128E-02,-2.47932E+00
3.94620144E-02,-2.50861E+00
3.94620160E-02,-2.48908E+00
3.94620176E-02,-2.49885E+00
3.94620192E-02,-2.48908E+00
3.94620208E-02,-2.49885E+00
3.94620224E-02,-2.49396E+00
3.94620240E-02,-2.48420E+00
3.94620256E-02,-2.50373E+00
3.94620272E-02,-2.47932E+00
3.94620288E-02,-2.49396E+00
3.94620304E-02,-2.50861E+00
3.94620320E-02,-2.50861E+00
3.94620336E-02,-2.50373E+00
3.94620352E-02,-2.48908E+00
3.94620368E-02,-2.49885E+00
3.94620384E-02,-2.48908E+00
3.94620400E-02,-2.48908E+00
3.94620416E-02,-2.50373E+00
3.94620432E-02,-2.48420E+00
3.94620448E-02,-2.48908E+00
3.94620464E-02,-2.47932E+00
3.94620480E-02,-2.47932E+00
3.94620496E-02,-2.48908E+00
3.94620512E-02,-2.49396E+00
3.94620528E-02,-2.50373E+00
3.94620544E-02,-2.51350E+00
3.94620560E-02,-2.49885E+00
3.94620576E-02,-2.50861E+00
3.94620592E-02,-2.50373E+00
3.94620608E-02,-2.50373E+00
3.94620624E-02,-2.48420E+00
3.94620640E-02,-2.49885E+00
3.94620656E-02,-2.49396E+00
3.94620672E-02,-2.50373E+00
3.94620688E-02,-2.49396E+00
3.94620704E-02,-2.49885E+00
3.94620720E-02,-2.49396E+00
3.94620736E-02,-2.49396E+00
3.94620752E-02,-2.49396E+00
3.94620768E-02,-2.50373E+00
3.94620784E-02,-2.50373E+00
3.94620800E-02,-2.48908E+00
3.94620816E-02,-2.49396E+00
3.94620832E-02,-2.48420E+00
3.94620848E-02,-2.48420E+00
3.94620864E-02,-2.49396E+00
3.94620880E-02,-2.48908E+00
3.94620896E-02,-2.48908E+00
3.94620912E-02,-2.49885E+00
3.94620928E-02,-2.50373E+00
3.94620944E-02,-2.49396E+00
3.94620960E-02,-2.48908E+00
3.94620976E-02,-2.50373E+00
3.94620992E-02,-2.48908E+00
3.94621008E-02,-2.49885E+00
3.94621024E-02,-2.50373E+00
3.94621040E-02,-2.50373E+00
3.94621056E-02,-2.49396E+00
3.94621072E-02,-2.48908E+00
3.94621088E-02,-2.49885E+00
3.94621104E-02,-2.49396E+00
3.94621120E-02,-2.49885E+00
3.94621136E-02,-2.50861E+00
3.94621152E-02,-2.51350E+00
3.94621168E-02,-2.49396E+00
3.94621184E-02,-2.48420E+00
3.94621200E-02,-2.49885E+00
3.94621216E-02,-2.50373E+00
3.94621232E-02,-2.50373E+00
3.94621248E-02,-2.50373E+00
3.94621264E-02,-2.49885E+00
3.94621280E-02,-2.48908E+00
3.94621296E-02,-2.50373E+00
3.94621312E-02,-2.49396E+00
3.94621328E-02,-2.48908E+00
3.94621344E-02,-2.50373E+00
3.94621360E-02,-2.48908E+00
3.94621376E-02,-2.50373E+00
3.94621392E-02,-2.49885E+00
3.94621408E-02,-2.50373E+00
3.94621424E-02,-2.48908E+00
3.94621440E-02,-2.51350E+00
3.94621456E-02,-2.49396E+00
3.94621472E-02,-2.48420E+00
3.94621488E-02,-2.52814E+00
3.94621504E-02,-2.49885E+00
3.94621520E-02,-2.49885E+00
3.94621536E-02,-2.49885E+00
3.94621552E-02,-2.50861E+00
3.94621568E-02,-2.51350E+00
3.94621584E-02,-2.49885E+00
3.94621600E-02,-2.48908E+00
3.94621616E-02,-2.51350E+00
3.94621632E-02,-2.50861E+00
3.94621648E-02,-2.48420E+00
3.94621664E-02,-2.49885E+00
3.94621680E-02,-2.49396E+00
3.94621696E-02,-2.50373E+00
3.94621712E-02,-2.49396E+00
3.94621728E-02,-2.50861E+00
3.94621744E-02,-2.50373E+00
3.94621760E-02,-2.49885E+00
3.94621776E-02,-2.49885E+00
3.94621792E-02,-2.50861E+00
3.94621808E-02,-2.50373E+00
3.94621824E-02,-2.50373E+00
3.94621840E-02,-2.49396E+00
3.94621856E-02,-2.50861E+00
3.94621872E-02,-2.50861E+00
3.94621888E-02,-2.49396E+00
3.94621904E-02,-2.48420E+00
3.94621920E-02,-2.49885E+00
3.94621936E-02,-2.49885E+00
3.94621952E-02,-2.50861E+00
3.94621968E-02,-2.49885E+00
3.94621984E-02,-2.50373E+00
3.94622000E-02,-2.49396E+00
3.94622016E-02,-2.48908E+00
3.94622032E-02,-2.50373E+00
3.94622048E-02,-2.50373E+00
3.94622064E-02,-2.49396E+00
3.94622080E-02,-2.48908E+00
3.94622096E-02,-2.49885E+00
3.94622112E-02,-2.51350E+00
3.94622128E-02,-2.50373E+00
3.94622144E-02,-2.49885E+00
3.94622160E-02,-2.49885E+00
3.94622176E-02,-2.49885E+00
3.94622192E-02,-2.49885E+00
3.94622208E-02,-2.50373E+00
3.94622224E-02,-2.49396E+00
3.94622240E-02,-2.50373E+00
3.94622256E-02,-2.50373E+00
3.94622272E-02,-2.49396E+00
3.94622288E-02,-2.49396E+00
3.94622304E-02,-2.48420E+00
3.94622320E-02,-2.49885E+00
3.94622336E-02,-2.50373E+00
3.94622352E-02,-2.51350E+00
3.94622368E-02,-2.50861E+00
3.94622384E-02,-2.50373E+00
3.94622400E-02,-2.50373E+00
3.94622416E-02,-2.49396E+00
3.94622432E-02,-2.48908E+00
3.94622448E-02,-2.49885E+00
3.94622464E-02,-2.47443E+00
3.94622480E-02,-2.48420E+00
3.94622496E-02,-2.48420E+00
3.94622512E-02,-2.47932E+00
3.94622528E-02,-2.48908E+00
3.94622544E-02,-2.48908E+00
3.94622560E-02,-2.48908E+00
3.94622576E-02,-2.49396E+00
3.94622592E-02,-2.49396E+00
3.94622608E-02,-2.48908E+00
3.94622624E-02,-2.50373E+00
3.94622640E-02,-2.51350E+00
3.94622656E-02,-2.49885E+00
3.94622672E-02,-2.51350E+00
3.94622688E-02,-2.50373E+00
3.94622704E-02,-2.48908E+00
3.94622720E-02,-2.50373E+00
3.94622736E-02,-2.49396E+00
3.94622752E-02,-2.49396E+00
3.94622768E-02,-2.49396E+00
3.94622784E-02,-2.48420E+00
3.94622800E-02,-2.49885E+00
3.94622816E-02,-2.50373E+00
3.94622832E-02,-2.48420E+00
3.94622848E-02,-2.49885E+00
3.94622864E-02,-2.49396E+00
3.94622880E-02,-2.50373E+00
3.94622896E-02,-2.50373E+00
3.94622912E-02,-2.49885E+00
3.94622928E-02,-2.49885E+00
3.94622944E-02,-2.49396E+00
3.94622960E-02,-2.49396E+00
3.94622976E-02,-2.49885E+00
3.94622992E-02,-2.49885E+00
3.94623008E-02,-2.48908E+00
3.94623024E-02,-2.48908E+00
3.94623040E-02,-2.48908E+00
3.94623056E-02,-2.47932E+00
3.94623072E-02,-2.50373E+00
3.94623088E-02,-2.49396E+00
3.94623104E-02,-2.50861E+00
3.94623120E-02,-2.49885E+00
3.94623136E-02,-2.48420E+00
3.94623152E-02,-2.48908E+00
3.94623168E-02,-2.47932E+00
3.94623184E-02,-2.48908E+00
3.94623200E-02,-2.50373E+00
3.94623216E-02,-2.49885E+00
3.94623232E-02,-2.50373E+00
3.94623248E-02,-2.49885E+00
3.94623264E-02,-2.49396E+00
3.94623280E-02,-2.48908E+00
3.94623296E-02,-2.50861E+00
3.94623312E-02,-2.47443E+00
3.94623328E-02,-2.50373E+00
3.94623344E-02,-2.49396E+00
3.94623360E-02,-2.49885E+00
3.94623376E-02,-2.50373E+00
3.94623392E-02,-2.49396E+00
3.94623408E-02,-2.50861E+00
3.94623424E-02,-2.48908E+00
3.94623440E-02,-2.48420E+00
3.94623456E-02,-2.50373E+00
3.94623472E-02,-2.48908E+00
3.94623488E-02,-2.48908E+00
3.94623504E-02,-2.48908E+00
3.94623520E-02,-2.49396E+00
3.94623536E-02,-2.51350E+00
3.94623552E-02,-2.51350E+00
3.94623568E-02,-2.49396E+00
3.94623584E-02,-2.48908E+00
3.94623600E-02,-2.49396E+00
3.94623616E-02,-2.48908E+00
3.94623632E-02,-2.50373E+00
3.94623648E-02,-2.48908E+00
3.94623664E-02,-2.51350E+00
3.94623680E-02,-2.49396E+00
3.94623696E-02,-2.49885E+00
3.94623712E-02,-2.49885E+00
3.94623728E-02,-2.52326E+00
3.94623744E-02,-2.50373E+00
3.94623760E-02,-2.47932E+00
3.94623776E-02,-2.49885E+00
3.94623792E-02,-2.48908E+00
3.94623808E-02,-2.49396E+00
3.94623824E-02,-2.48908E+00
3.94623840E-02,-2.48420E+00
3.94623856E-02,-2.49885E+00
3.94623872E-02,-2.50373E+00
3.94623888E-02,-2.49885E+00
3.94623904E-02,-2.49885E+00
3.94623920E-02,-2.49885E+00
3.94623936E-02,-2.48908E+00
3.94623952E-02,-2.47932E+00
3.94623968E-02,-2.48908E+00
3.94623984E-02,-2.49396E+00
3.94624000E-02,-2.50373E+00
3.94624016E-02,-2.48420E+00
3.94624032E-02,-2.48908E+00
3.94624048E-02,-2.51350E+00
3.94624064E-02,-2.49396E+00
3.94624080E-02,-2.49396E+00
3.94624096E-02,-2.50373E+00
3.94624112E-02,-2.50373E+00
3.94624128E-02,-2.48908E+00
3.94624144E-02,-2.46955E+00
3.94624160E-02,-2.50373E+00
3.94624176E-02,-2.48908E+00
3.94624192E-02,-2.48420E+00
3.94624208E-02,-2.49396E+00
3.94624224E-02,-2.50861E+00
3.94624240E-02,-2.47932E+00
3.94624256E-02,-2.50373E+00
3.94624272E-02,-2.48420E+00
3.94624288E-02,-2.50373E+00
3.94624304E-02,-2.50373E+00
3.94624320E-02,-2.50861E+00
3.94624336E-02,-2.49396E+00
3.94624352E-02,-2.49885E+00
3.94624368E-02,-2.49396E+00
3.94624384E-02,-2.49885E+00
3.94624400E-02,-2.47443E+00
3.94624416E-02,-2.50373E+00
3.94624432E-02,-2.49885E+00
3.94624448E-02,-2.50373E+00
3.94624464E-02,-2.50373E+00
3.94624480E-02,-2.48420E+00
3.94624496E-02,-2.50861E+00
3.94624512E-02,-2.48908E+00
3.94624528E-02,-2.49885E+00
3.94624544E-02,-2.50861E+00
3.94624560E-02,-2.50373E+00
3.94624576E-02,-2.49885E+00
3.94624592E-02,-2.49885E+00
3.94624608E-02,-2.49885E+00
3.94624624E-02,-2.47443E+00
3.94624640E-02,-2.48908E+00
3.94624656E-02,-2.49885E+00
3.94624672E-02,-2.49396E+00
3.94624688E-02,-2.49396E+00
3.94624704E-02,-2.49396E+00
3.94624720E-02,-2.50373E+00
3.94624736E-02,-2.50861E+00
3.94624752E-02,-2.51350E+00
3.94624768E-02,-2.48908E+00
3.94624784E-02,-2.48908E+00
3.94624800E-02,-2.50861E+00
3.94624816E-02,-2.49396E+00
3.94624832E-02,-2.51350E+00
3.94624848E-02,-2.48908E+00
3.94624864E-02,-2.50373E+00
3.94624880E-02,-2.49396E+00
3.94624896E-02,-2.50861E+00
3.94624912E-02,-2.49396E+00
3.94624928E-02,-2.49396E+00
3.94624944E-02,-2.48908E+00
3.94624960E-02,-2.49885E+00
3.94624976E-02,-2.50373E+00
3.94624992E-02,-2.49885E+00
3.94625008E-02,-2.49885E+00
3.94625024E-02,-2.47932E+00
3.94625040E-02,-2.49885E+00
3.94625056E-02,-2.50373E+00
3.94625072E-02,-2.50861E+00
3.94625088E-02,-2.49885E+00
3.94625104E-02,-2.48420E+00
3.94625120E-02,-2.49396E+00
3.94625136E-02,-2.50373E+00
3.94625152E-02,-2.50373E+00
3.94625168E-02,-2.50861E+00
3.94625184E-02,-2.50373E+00
3.94625200E-02,-2.48908E+00
3.94625216E-02,-2.49396E+00
3.94625232E-02,-2.51350E+00
3.94625248E-02,-2.50373E+00
3.94625264E-02,-2.49885E+00
3.94625280E-02,-2.49885E+00
3.94625296E-02,-2.50373E+00
3.94625312E-02,-2.50373E+00
3.94625328E-02,-2.49396E+00
3.94625344E-02,-2.49396E+00
3.94625360E-02,-2.50373E+00
3.94625376E-02,-2.49885E+00
3.94625392E-02,-2.51350E+00
3.94625408E-02,-2.50373E+00
3.94625424E-02,-2.49885E+00
3.94625440E-02,-2.49396E+00
3.94625456E-02,-2.48420E+00
3.94625472E-02,-2.50373E+00
3.94625488E-02,-2.48908E+00
3.94625504E-02,-2.49396E+00
3.94625520E-02,-2.49396E+00
3.94625536E-02,-2.50373E+00
3.94625552E-02,-2.50861E+00
3.94625568E-02,-2.50861E+00
3.94625584E-02,-2.49396E+00
3.94625600E-02,-2.48908E+00
3.94625616E-02,-2.49396E+00
3.94625632E-02,-2.50861E+00
3.94625648E-02,-2.50373E+00
3.94625664E-02,-2.50373E+00
3.94625680E-02,-2.50373E+00
3.94625696E-02,-2.49396E+00
3.94625712E-02,-2.49885E+00
3.94625728E-02,-2.49396E+00
3.94625744E-02,-2.47443E+00
3.94625760E-02,-2.50861E+00
3.94625776E-02,-2.50861E+00
3.94625792E-02,-2.49885E+00
3.94625808E-02,-2.50373E+00
3.94625824E-02,-2.50373E+00
3.94625840E-02,-2.48908E+00
3.94625856E-02,-2.48908E+00
3.94625872E-02,-2.48908E+00
3.94625888E-02,-2.49396E+00
3.94625904E-02,-2.51350E+00
3.94625920E-02,-2.51350E+00
3.94625936E-02,-2.50373E+00
3.94625952E-02,-2.51350E+00
3.94625968E-02,-2.49885E+00
3.94625984E-02,-2.48420E+00
3.94626000E-02,-2.49885E+00
3.94626016E-02,-2.49885E+00
3.94626032E-02,-2.49885E+00
3.94626048E-02,-2.48908E+00
3.94626064E-02,-2.50373E+00
3.94626080E-02,-2.48420E+00
3.94626096E-02,-2.49885E+00
3.94626112E-02,-2.48420E+00
3.94626128E-02,-2.49885E+00
3.94626144E-02,-2.48908E+00
3.94626160E-02,-2.51350E+00
3.94626176E-02,-2.49396E+00
3.94626192E-02,-2.49396E+00
3.94626208E-02,-2.50373E+00
3.94626224E-02,-2.49396E+00
3.94626240E-02,-2.48908E+00
3.94626256E-02,-2.48420E+00
3.94626272E-02,-2.47443E+00
3.94626288E-02,-2.49396E+00
3.94626304E-02,-2.48908E+00
3.94626320E-02,-2.49885E+00
3.94626336E-02,-2.48420E+00
3.94626352E-02,-2.46955E+00
