in s,C1 in V,C2 in V
8.520000E-05,1.31982E+00,2.99951E+00
8.520080E-05,1.30518E+00,2.97021E+00
8.520160E-05,1.34912E+00,2.98486E+00
8.520240E-05,1.30518E+00,2.95557E+00
8.520320E-05,1.31982E+00,2.98975E+00
8.520400E-05,1.31006E+00,2.97998E+00
8.520480E-05,1.32471E+00,2.99463E+00
8.520560E-05,1.31982E+00,2.98486E+00
8.520640E-05,1.31494E+00,2.97021E+00
8.520720E-05,1.30029E+00,2.97998E+00
8.520800E-05,1.31006E+00,2.99463E+00
8.520880E-05,1.30518E+00,2.97998E+00
8.520960E-05,1.31494E+00,2.99463E+00
8.521040E-05,1.31006E+00,2.97021E+00
8.521120E-05,1.31982E+00,2.98486E+00
8.521200E-05,1.31006E+00,2.98975E+00
8.521280E-05,1.31006E+00,2.99951E+00
8.521360E-05,1.30518E+00,2.97998E+00
8.521440E-05,1.32471E+00,2.97510E+00
8.521520E-05,1.31006E+00,2.99463E+00
8.521600E-05,1.30029E+00,2.99463E+00
8.521680E-05,1.31006E+00,2.98975E+00
8.521760E-05,1.33936E+00,2.99951E+00
8.521840E-05,1.31006E+00,2.98486E+00
8.521920E-05,1.30518E+00,2.99463E+00
8.522000E-05,1.29541E+00,2.96533E+00
8.522080E-05,1.31494E+00,2.97510E+00
8.522160E-05,1.31006E+00,2.97998E+00
8.522240E-05,1.31494E+00,3.00928E+00
8.522320E-05,1.31982E+00,2.97998E+00
8.522400E-05,1.28564E+00,2.96533E+00
8.522480E-05,1.31006E+00,2.98486E+00
8.522560E-05,1.31006E+00,2.98486E+00
8.522640E-05,1.31494E+00,2.97021E+00
8.522720E-05,1.33447E+00,2.99463E+00
8.522800E-05,1.28564E+00,2.97510E+00
8.522880E-05,1.29053E+00,2.99951E+00
8.522960E-05,1.31006E+00,2.99463E+00
8.523040E-05,1.30518E+00,2.99463E+00
8.523120E-05,1.31006E+00,2.99951E+00
8.523200E-05,1.31494E+00,2.98975E+00
8.523280E-05,1.30029E+00,2.97998E+00
8.523360E-05,1.30029E+00,2.99463E+00
