"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:01",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,2842,,
"Current",,5.444800e-06,,
"Average No.",,1.000000e+03,,
"Min",,2.240000e-08,,
"Max",,1.937120e-05,,
"Mean",,6.440515e-06,,
"StdDev",,2.486274e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.452338e-06,,
"Long term StdDev",,3.719059e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,9.123200e-06,
2,,8.907200e-06,
3,,8.808000e-06,
4,,8.780800e-06,
5,,8.792000e-06,
6,,8.942400e-06,
7,,8.832000e-06,
8,,8.836800e-06,
9,,8.862400e-06,
10,,8.900800e-06,
11,,8.856000e-06,
12,,8.872000e-06,
13,,8.710400e-06,
14,,8.915200e-06,
15,,8.891200e-06,
16,,8.921600e-06,
17,,9.027200e-06,
18,,8.838400e-06,
19,,8.833600e-06,
20,,8.811200e-06,
21,,8.859200e-06,
22,,8.790400e-06,
23,,8.760000e-06,
24,,8.865600e-06,
25,,8.760000e-06,
26,,8.908800e-06,
27,,8.913600e-06,
28,,8.862400e-06,
29,,8.878400e-06,
30,,1.600000e+308,
31,,1.600000e+308,
32,,1.600000e+308,
33,,1.600000e+308,
34,,1.600000e+308,
35,,1.600000e+308,
36,,1.600000e+308,
37,,1.600000e+308,
38,,1.600000e+308,
39,,1.600000e+308,
40,,1.600000e+308,
41,,1.600000e+308,
42,,1.600000e+308,
43,,2.667200e-06,
44,,3.635200e-06,
45,,3.622400e-06,
46,,3.611200e-06,
47,,3.668800e-06,
48,,3.665600e-06,
49,,3.625600e-06,
50,,3.577600e-06,
51,,2.240000e-08,
52,,3.664000e-06,
53,,3.630400e-06,
54,,3.617600e-06,
55,,1.600000e+308,
56,,3.590400e-06,
57,,3.625600e-06,
58,,3.569600e-06,
59,,3.600000e-06,
60,,1.600000e+308,
61,,1.600000e+308,
62,,1.600000e+308,
63,,1.600000e+308,
64,,1.600000e+308,
65,,1.600000e+308,
66,,1.600000e+308,
67,,1.600000e+308,
68,,1.600000e+308,
69,,1.600000e+308,
70,,1.600000e+308,
71,,1.600000e+308,
72,,1.600000e+308,
73,,1.600000e+308,
74,,1.600000e+308,
75,,1.600000e+308,
76,,1.600000e+308,
77,,1.600000e+308,
78,,1.600000e+308,
79,,1.600000e+308,
80,,1.600000e+308,
81,,1.600000e+308,
82,,1.600000e+308,
83,,1.600000e+308,
84,,1.600000e+308,
85,,1.600000e+308,
86,,1.600000e+308,
87,,1.600000e+308,
88,,1.600000e+308,
89,,1.600000e+308,
90,,1.600000e+308,
91,,1.600000e+308,
92,,1.600000e+308,
93,,1.600000e+308,
94,,1.600000e+308,
95,,1.600000e+308,
96,,1.600000e+308,
97,,1.600000e+308,
98,,1.600000e+308,
99,,1.600000e+308,
100,,1.600000e+308,
101,,1.600000e+308,
102,,1.600000e+308,
103,,1.600000e+308,
104,,1.600000e+308,
105,,1.600000e+308,
106,,1.600000e+308,
107,,1.600000e+308,
108,,1.600000e+308,
109,,1.600000e+308,
110,,1.600000e+308,
111,,1.600000e+308,
112,,1.600000e+308,
113,,1.600000e+308,
114,,1.600000e+308,
115,,1.600000e+308,
116,,1.600000e+308,
117,,1.600000e+308,
118,,1.600000e+308,
119,,1.600000e+308,
120,,1.600000e+308,
121,,1.600000e+308,
122,,1.600000e+308,
123,,1.600000e+308,
124,,1.600000e+308,
125,,1.600000e+308,
126,,1.600000e+308,
127,,1.600000e+308,
128,,1.600000e+308,
129,,1.600000e+308,
130,,1.600000e+308,
131,,1.600000e+308,
132,,1.600000e+308,
133,,1.600000e+308,
134,,1.600000e+308,
135,,1.600000e+308,
136,,1.600000e+308,
