in s,C1 in V
-2.995776E-04,-6.56699E-01
-2.995728E-04,-6.90879E-01
-2.995728E-04,-6.71348E-01
-2.995680E-04,-6.81113E-01
-2.995680E-04,-6.61582E-01
-2.995632E-04,-6.76230E-01
-2.995632E-04,-6.61582E-01
-2.995584E-04,-6.85996E-01
-2.995584E-04,-6.61582E-01
-2.995536E-04,-6.85996E-01
-2.995536E-04,-6.66465E-01
-2.995488E-04,-6.81113E-01
-2.995488E-04,-6.46934E-01
-2.995440E-04,-6.81113E-01
-2.995440E-04,-6.51816E-01
-2.995392E-04,-6.81113E-01
-2.995392E-04,-6.61582E-01
-2.995344E-04,-6.81113E-01
-2.995344E-04,-6.51816E-01
-2.995296E-04,-6.85996E-01
-2.995296E-04,-6.56699E-01
-2.995248E-04,-6.85996E-01
-2.995248E-04,-6.66465E-01
-2.995200E-04,-6.90879E-01
-2.995200E-04,-6.66465E-01
-2.995152E-04,-6.81113E-01
-2.995152E-04,-6.56699E-01
-2.995104E-04,-6.90879E-01
-2.995104E-04,-6.56699E-01
-2.995056E-04,-6.85996E-01
-2.995056E-04,-6.61582E-01
-2.995008E-04,-6.81113E-01
-2.995008E-04,-6.56699E-01
-2.994960E-04,-6.81113E-01
-2.994960E-04,-6.56699E-01
-2.994912E-04,-7.05527E-01
-2.994912E-04,-6.61582E-01
-2.994864E-04,-6.85996E-01
-2.994864E-04,-6.66465E-01
-2.994816E-04,-6.81113E-01
-2.994816E-04,-6.61582E-01
-2.994768E-04,-6.81113E-01
-2.994768E-04,-6.56699E-01
-2.994720E-04,-6.95762E-01
-2.994720E-04,-6.56699E-01
-2.994672E-04,-6.81113E-01
-2.994672E-04,-6.51816E-01
-2.994624E-04,-6.81113E-01
-2.994624E-04,-6.51816E-01
-2.994576E-04,-6.85996E-01
-2.994576E-04,-6.66465E-01
-2.994528E-04,-6.85996E-01
-2.994528E-04,-6.61582E-01
-2.994480E-04,-6.81113E-01
-2.994480E-04,-6.66465E-01
-2.994432E-04,-6.85996E-01
-2.994432E-04,-6.56699E-01
-2.994384E-04,-6.85996E-01
-2.994384E-04,-6.56699E-01
-2.994336E-04,-6.85996E-01
-2.994336E-04,-6.61582E-01
-2.994288E-04,-6.85996E-01
-2.994288E-04,-6.66465E-01
-2.994240E-04,-6.81113E-01
-2.994240E-04,-6.51816E-01
-2.994192E-04,-6.85996E-01
-2.994192E-04,-6.61582E-01
-2.994144E-04,-6.90879E-01
-2.994144E-04,-6.61582E-01
-2.994096E-04,-6.81113E-01
-2.994096E-04,-6.61582E-01
-2.994048E-04,-6.81113E-01
-2.994048E-04,-6.56699E-01
-2.994000E-04,-6.95762E-01
-2.994000E-04,-6.56699E-01
-2.993952E-04,-6.76230E-01
-2.993952E-04,-6.61582E-01
-2.993904E-04,-6.81113E-01
-2.993904E-04,-6.66465E-01
-2.993856E-04,-6.85996E-01
-2.993856E-04,-6.66465E-01
-2.993808E-04,-6.90879E-01
-2.993808E-04,-6.61582E-01
-2.993760E-04,-6.81113E-01
-2.993760E-04,-6.66465E-01
-2.993712E-04,-6.81113E-01
-2.993712E-04,-6.66465E-01
-2.993664E-04,-6.90879E-01
-2.993664E-04,-6.61582E-01
-2.993616E-04,-6.85996E-01
-2.993616E-04,-6.51816E-01
-2.993568E-04,-6.81113E-01
-2.993568E-04,-6.51816E-01
-2.993520E-04,-6.71348E-01
-2.993520E-04,-6.61582E-01
-2.993472E-04,-6.76230E-01
-2.993472E-04,-6.61582E-01
-2.993424E-04,-6.76230E-01
-2.993424E-04,-6.56699E-01
-2.993376E-04,-6.85996E-01
-2.993376E-04,-6.51816E-01
-2.993328E-04,-6.85996E-01
-2.993328E-04,-6.61582E-01
-2.993280E-04,-6.85996E-01
-2.993280E-04,-6.66465E-01
-2.993232E-04,-6.81113E-01
-2.993232E-04,-6.51816E-01
-2.993184E-04,-6.71348E-01
-2.993184E-04,-6.51816E-01
-2.993136E-04,-6.76230E-01
-2.993136E-04,-6.66465E-01
-2.993088E-04,-6.81113E-01
-2.993088E-04,-6.56699E-01
-2.993040E-04,-6.81113E-01
-2.993040E-04,-6.51816E-01
-2.992992E-04,-6.90879E-01
-2.992992E-04,-6.66465E-01
-2.992944E-04,-6.85996E-01
-2.992944E-04,-6.76230E-01
-2.992896E-04,-6.90879E-01
-2.992896E-04,-6.71348E-01
-2.992848E-04,-6.90879E-01
-2.992848E-04,-6.61582E-01
-2.992800E-04,-6.81113E-01
-2.992800E-04,-6.61582E-01
-2.992752E-04,-6.85996E-01
-2.992752E-04,-6.66465E-01
-2.992704E-04,-6.81113E-01
-2.992704E-04,-6.66465E-01
-2.992656E-04,-6.90879E-01
-2.992656E-04,-6.61582E-01
-2.992608E-04,-6.85996E-01
-2.992608E-04,-6.61582E-01
-2.992560E-04,-6.81113E-01
-2.992560E-04,-6.71348E-01
-2.992512E-04,-6.81113E-01
-2.992512E-04,-6.61582E-01
-2.992464E-04,-6.85996E-01
-2.992464E-04,-6.61582E-01
-2.992416E-04,-6.85996E-01
-2.992416E-04,-6.66465E-01
-2.992368E-04,-6.85996E-01
-2.992368E-04,-6.66465E-01
-2.992320E-04,-6.81113E-01
-2.992320E-04,-6.71348E-01
-2.992272E-04,-6.81113E-01
-2.992272E-04,-6.66465E-01
-2.992224E-04,-6.81113E-01
-2.992224E-04,-6.61582E-01
-2.992176E-04,-6.85996E-01
-2.992176E-04,-6.61582E-01
-2.992128E-04,-6.95762E-01
-2.992128E-04,-6.61582E-01
-2.992080E-04,-6.81113E-01
-2.992080E-04,-6.61582E-01
-2.992032E-04,-6.85996E-01
-2.992032E-04,-6.61582E-01
-2.991984E-04,-6.85996E-01
-2.991984E-04,-6.61582E-01
-2.991936E-04,-6.81113E-01
-2.991936E-04,-6.51816E-01
-2.991888E-04,-6.90879E-01
-2.991888E-04,-6.61582E-01
-2.991840E-04,-6.81113E-01
-2.991840E-04,-6.71348E-01
-2.991792E-04,-6.81113E-01
-2.991792E-04,-6.51816E-01
-2.991744E-04,-6.90879E-01
-2.991744E-04,-6.61582E-01
-2.991696E-04,-6.90879E-01
-2.991696E-04,-6.66465E-01
-2.991648E-04,-6.95762E-01
-2.991648E-04,-6.66465E-01
-2.991600E-04,-6.90879E-01
-2.991600E-04,-6.56699E-01
-2.991552E-04,-6.95762E-01
-2.991552E-04,-6.56699E-01
-2.991504E-04,-6.81113E-01
-2.991504E-04,-6.46934E-01
-2.991456E-04,-6.81113E-01
-2.991456E-04,-6.46934E-01
-2.991408E-04,-6.81113E-01
-2.991408E-04,-6.66465E-01
-2.991360E-04,-6.81113E-01
