"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:20:31",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,2408,,
"Current",,1.193760e-05,,
"Average No.",,1.000000e+03,,
"Min",,2.240000e-08,,
"Max",,1.937120e-05,,
"Mean",,5.269798e-06,,
"StdDev",,2.416571e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.065445e-06,,
"Long term StdDev",,3.814637e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
228,,3.636800e-06,
229,,3.600000e-06,
230,,3.651200e-06,
231,,3.603200e-06,
232,,3.648000e-06,
233,,4.038400e-06,
234,,3.624000e-06,
235,,3.619200e-06,
236,,3.630400e-06,
237,,3.633600e-06,
238,,3.619200e-06,
239,,3.611200e-06,
240,,3.566400e-06,
241,,3.643200e-06,
242,,3.571200e-06,
243,,3.590400e-06,
244,,3.632000e-06,
245,,3.571200e-06,
246,,3.617600e-06,
247,,3.596800e-06,
248,,3.601600e-06,
249,,3.638400e-06,
250,,3.624000e-06,
251,,3.545600e-06,
252,,3.593600e-06,
253,,3.593600e-06,
254,,3.624000e-06,
255,,3.609600e-06,
256,,3.640000e-06,
257,,3.609600e-06,
258,,3.598400e-06,
259,,3.625600e-06,
260,,3.641600e-06,
261,,3.596800e-06,
262,,3.609600e-06,
263,,3.603200e-06,
264,,3.580800e-06,
265,,3.627200e-06,
266,,3.609600e-06,
267,,3.604800e-06,
268,,3.646400e-06,
269,,3.651200e-06,
270,,3.620800e-06,
271,,3.620800e-06,
272,,3.579200e-06,
273,,3.651200e-06,
274,,3.584000e-06,
275,,3.619200e-06,
276,,3.633600e-06,
277,,3.598400e-06,
278,,3.635200e-06,
279,,3.585600e-06,
280,,3.628800e-06,
281,,3.622400e-06,
282,,3.625600e-06,
283,,3.641600e-06,
284,,3.651200e-06,
285,,3.622400e-06,
286,,3.547200e-06,
287,,3.596800e-06,
288,,3.585600e-06,
289,,3.643200e-06,
290,,3.609600e-06,
291,,3.656000e-06,
292,,3.627200e-06,
293,,3.580800e-06,
294,,3.564800e-06,
295,,3.587200e-06,
296,,3.643200e-06,
297,,3.585600e-06,
298,,3.556800e-06,
299,,3.598400e-06,
300,,3.649600e-06,
301,,3.977600e-06,
302,,3.620800e-06,
303,,3.510400e-06,
304,,3.619200e-06,
305,,3.588800e-06,
306,,3.640000e-06,
307,,3.569600e-06,
308,,3.649600e-06,
309,,3.614400e-06,
310,,3.600000e-06,
311,,3.604800e-06,
312,,3.606400e-06,
313,,3.630400e-06,
314,,3.584000e-06,
315,,3.627200e-06,
316,,3.614400e-06,
317,,3.624000e-06,
318,,3.600000e-06,
319,,3.620800e-06,
320,,3.630400e-06,
321,,3.630400e-06,
322,,3.620800e-06,
323,,3.641600e-06,
324,,3.601600e-06,
325,,3.656000e-06,
326,,3.619200e-06,
327,,3.620800e-06,
328,,3.628800e-06,
329,,3.630400e-06,
330,,3.630400e-06,
331,,3.636800e-06,
332,,3.636800e-06,
333,,3.619200e-06,
334,,3.624000e-06,
335,,3.537600e-06,
336,,3.606400e-06,
337,,3.632000e-06,
338,,3.660800e-06,
339,,3.612800e-06,
340,,3.636800e-06,
341,,3.646400e-06,
342,,3.606400e-06,
343,,3.625600e-06,
344,,3.574400e-06,
345,,3.595200e-06,
346,,3.646400e-06,
347,,3.627200e-06,
348,,3.619200e-06,
349,,3.630400e-06,
350,,3.579200e-06,
